,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 1980",?,Haiti,Haïti Air Inter,?,Port au Prince - Cape Haitien,Britten Norman BN Islander,HH-CNC,474,9 (passengers:8 crew:1),9 (passengers:8 crew:1),0,Struck high ground in poor visibility while en route.
ACCIDENT DETAILS,"January 11, 1980",01:23,Over the Atlantic Ocean,Private charter,?,Shreveport - Baton Rouge,Cessna 441 Conquest,N442NC,?,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,"The plane was on a 45 minute fight from Shreveport to Baton Rouge Louisiana. The aircraft climbed past its assigned altitude and veered to the northeast. The FAA tried to contact the aircraft without success. Fighter jets was scrambled to intercept the plane but observed no one at the controls and got no response to radio calls. The plane rose to an altitude of 41,600 feet and headed out to sea. The plane eventually ran out of fuel, descended to about 25,000 feet, went into a spin and crashed into 1,100 feet of water. No wreckage or remains were ever recovered. The official cause remains unknown although it is believed the occupants lost consciousness due to oxygen deprivation. Louisiana State University football coach Robert ""Bo"" Rein, 34, was killed."
ACCIDENT DETAILS,"January 14, 1980",14:00,"Shungnak, Alaska",Ambler Air Service,?,"Ambler, AK - Kobuk, AK",Cessna 185A,N1690Z,185-0490,9 (passengers:8 crew:1),7 (passengers:6 crew:1),0,Crashed. Continued VFR flight into adverse weather conditions.
ACCIDENT DETAILS,"January 21, 1980",19:10,"Elburz Mtns., near Tehran, Iran",Iran Air,?,Babol Sar - Tehran,Boeing B-727-86,EP-IRD,19817/537,128 (passengers:120 crew:8),128 (passengers:120 crew:8),0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named ""Shiraz."""
ACCIDENT DETAILS,"January 23, 1980",?,"Mt. Cemonyet, Indonesia",Pelita Air Service,?,?,CASA 212 Aviocar 100,PK-PCX,45/3N,13 (passengers:10 crew:3),13 (passengers:10 crew:3),0,"Hit high ground at 2,700 ft. in poor weather while on approach."
ACCIDENT DETAILS,"January 24, 1980",06:20,"Near Mandalay, Burma",Military - Union of Burma Air Force,?,Mandalay - Rangoon,Fairchild FH-227H,5003,545,44 (passengers:? crew:?),43 (passengers:? crew:?),0,Crashed into a building while attempting an emergency landing following the loss of one engine.
ACCIDENT DETAILS,"February 03, 1980",?,"Baracoa, Cuba",Cubana de Aviacon,?,Moa - Baracoa,Yakovlev YAK-40,CU-T1219,9840959,37 (passengers:33 crew:4),1 (passengers:1 crew:0),0,Crashed while attemping to land.
ACCIDENT DETAILS,"February 21, 1980",08:50,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,?,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,N442Y,62033,7 (passengers:6 crew:1),6 (passengers:6 crew:0),0,"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed."
ACCIDENT DETAILS,"February 21, 1980",?,"Sydney, NSW, Australia",Advance Airlines,?,Sydney - Tomora,Beechcraft Super King Air 200,VH-AAV,BB-0245,13 (passengers:12 crew:1),13 (passengers:12 crew:1),0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
ACCIDENT DETAILS,"February 22, 1980",?,"Near Agra, India",Military - Indian Air Force,?,?,Fairchild C-119G,?,?,47 (passengers:? crew:?),46 (passengers:? crew:?),1,A bicyclist riding on the runway led the pilot to initiate a premature liftoff resulting in a stall. The plane was carrying paratroopers.
ACCIDENT DETAILS,"February 27, 1980",c 06:00,"Manila, Philippines",China Airlines (Taiwan),?,Taipei - Manila,Boeing B-707-309C,B-1826,20262/830,135 (passengers:124 crew:11),2 (passengers:2 crew:0),0,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.
ACCIDENT DETAILS,"March 14, 1980",11:00,"Near Warsaw, Poland",LOT Polish Airlines,007,New York City - Warsaw,Ilyushin IL-62,SP-LAA,11004,87 (passengers:77 crew:10),87 (passengers:77 crew:10),0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik."
ACCIDENT DETAILS,"March 14, 1980",15:00,"Near Yenice, Turkey",Military - U.S. Air Force,?,?,Lockheed C-130H,74-2064,4659,18 (passengers:12 crew:6),18 (passengers:12 crew:6),0,Crashed into hilly terrain after the left wing exploded. Cause unknown. The plane was returning to Incirlik Air Base.
ACCIDENT DETAILS,"March 21, 1980",19:49,"Houston, Texas",Eagle Commuter,?,"Houston, TX - Brownwood, TX",Piper PA-28-180,N55932,28-7305503,10 (passengers:8 crew:2),7 (passengers:5 crew:2),0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons. Improper emergency procedures. The pilot did not properly configure aircraft and land immediately."
ACCIDENT DETAILS,"March 21, 1980",?,"Off Macae, Brazil",VOTEC,?,?,Sikorsky S-76,PT-HKB,760008,14 (passengers:? crew:?),14 (passengers:? crew:?),0,Crashed into the sea. Fatigue fracture of the main rotor.
ACCIDENT DETAILS,"March 24, 1980",?,"Deer Lake, Canada",Tomahawk Airways,?,?,Cessna 402,C-FEIA,?,9 (passengers:? crew:?),6 (passengers:? crew:?),0,Crashed during takeoff. Poor runway conditions and overloading.
ACCIDENT DETAILS,"March 30, 1980",?,"Cuiaba, Brazil",Votec Taxi Aéreo,?,?,Britten Norman BN Islander,PT-JSC,695,9 (passengers:8 crew:1),9 (passengers:8 crew:1),0,Crashed after stalling.
ACCIDENT DETAILS,"April 12, 1980",20:40,"Florianopolis, Brazil",Transbrasil,303,Sao Paulo - Florianopolis,Boeing B-727-27C,PT-TYS,19111/297,58 (passengers:50 crew:8),55 (passengers:47 crew:8),0,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.
ACCIDENT DETAILS,"April 14, 1980",20:05,"Krasnoyarsk, Russia",Aeroflot,151,Krasnoyarsk - Yeniseisk,Antonov An-24B,CCCP-47732,69900905,53 (passengers:49 crew:4),2 (passengers:2 crew:0),0,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.
ACCIDENT DETAILS,"April 24, 1980",?,"Posht-i-Badam, Iran",Military - U.S. Air Force,?,?,Lockheed EC-130E Hercules,62-1809,3770,7 (passengers:0 crew:7),5 (passengers:0 crew:5),0,Hit by a U.S. Marine Corps RH-53D Sea Stallion helicopter during a hostage rescue operation while on the ground.
ACCIDENT DETAILS,"April 25, 1980",13:21,"Tenerife, Canary Islands",Dan Air Services,1008,Manchester - Tenerife,Boeing B-727-64,G-BDAN,19279/288,146 (passengers:138 crew:8),146 (passengers:138 crew:8),0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot."
ACCIDENT DETAILS,"April 27, 1980",06:55,"Don Muang, Thailand",Thai Airways,231,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,HS-THB,1568,53 (passengers:49 crew:4),44 (passengers:40 crew:4),0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage. The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather."
ACCIDENT DETAILS,"May 13, 1980",?,"Campinas, Brazil",Votec Taxi Aéreo,?,?,Britten Norman BN Islander,PT-KHK,208,7 (passengers:6 crew:1),7 (passengers:6 crew:1),0,Crashed while conducting a survey.
ACCIDENT DETAILS,"May 13, 1980",?,"Off Varadero, Cuba",Cubana de Aviacion,?,Training,Ilyushin IL-14,CU-T322,147001642,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,Crashed into the sea.
ACCIDENT DETAILS,"May 19, 1980",12:05,"Off Sarasota, Florida",Northeast Jet,?,"West Palm Beach, FL - New Orleans, LA",Learjet 25D,N125NE,25-271,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"An unexpected encouter with moderate to severe clear air turbulence, the flightcrew's improper response to the encounter, and the aircraft's marginal controllability characteristics when flown at and beyond the boundary of its high altitude speed envelope, all of which resulted in the aircraft exceeding its Mach limits and a progressive loss of control from which recovery was not possible."
ACCIDENT DETAILS,"May 28, 1980",12:25,"Gran Canaria Island, Spain",Spanish Air Force,?,?,Lockheed C-130,T.10-1/311-01,4520,11 (passengers:? crew:?),11 (passengers:? crew:?),0,Crashed into a mountain because of no visual reference due to fog.
ACCIDENT DETAILS,"June 02, 1980",?,"Near Yachiba, Bolivia",Lloyd Aereo Boliviano,?,?,Fairchild F-27J,CP-1117,0118,13 (passengers:10 crew:3),13 (passengers:10 crew:3),0,Crashed in the Tapecua mountains.
ACCIDENT DETAILS,"June 08, 1980",15:33,"Near Matala, Angola",Lineas Aereas de Angola,?,?,Yakovlev YAK-40,D2-TYC,9721753,29 (passengers:25 crew:4),29 (passengers:25 crew:4),0,Accidentally shot down by anti-aircraft fire.
ACCIDENT DETAILS,"June 12, 1980",13:44,"Near Dushanbe, Russia",Aeroflot,?,Leningrad - Dushanbe,Yakovlev YAK-40,CCCP-87689,9910403,29 (passengers:25 crew:4),29 (passengers:25 crew:4),0,Deviated from their course to avoid a thunderstorm and crashed into a cloud covered mountain.
ACCIDENT DETAILS,"June 12, 1980",15:46,"Valley, Nebraska",Air Wisconsin,965,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,N6505,TC-228,15 (passengers:13 crew:2),13 (passengers:11 crew:2),0,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.
ACCIDENT DETAILS,"June 15, 1980",11:06,"Lihue, Hawaii",Aero Pac Lease - Air Taxi,?,"Honolulu, HI - Lihue, HI",Piper PA-34-200T,N2564Q,34-7770192,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,Missed approach and crashed in fog and rain. ATC failure to track flight to termination of radar service and advise of impending danger.
ACCIDENT DETAILS,"June 27, 1980",20:59,"Tyrrhenian Sea, off Ustica, Italy",Itavia,870,Bologna - Palermo,McDonnell Douglas DC-9-15,I-TIGI,45724/22,81 (passengers:77 crew:4),81 (passengers:77 crew:4),0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash."
ACCIDENT DETAILS,"July 07, 1980",?,"Near Tepic, Mexico",IMSS,?,?,Embraer 110P1 Bandeirante,XC-DAK,110-242,13 (passengers:? crew:?),13 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"July 08, 1980",00:39,"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,4225,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166 (passengers:156 crew:10),166 (passengers:156 crew:10),0,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear."
ACCIDENT DETAILS,"July 12, 1980",?,"Golovin, Alaska",Ryan Air Services,?,"Nome, AK - Unalakeet, AK",Cessna 402B,N90238,402B0817,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0,The plane crashed after continued VFR flight into adverse weather conditions.
ACCIDENT DETAILS,"July 21, 1980",17:02,"Tusayan, Arizona",Scenic Airlines,?,"Tusayan, AZ - Phoenix, AZ",Cessna 404 Titan II,N2683S,404-0606,8 (passengers:7 crew:1),8 (passengers:7 crew:1),0,Collided with trees during the initial climb due to engine failure. Substantial loss of power I the left engine at a critical point in takeoff and the failure of the pilot to establish a minimum drag configuration which degraded the marginal single-engine climb performance of the aircraft. The loss of power resulted from seizure of the turbocharger following progressive failure of the turbine wheel blades initiated by foreign object ingestion which had occurred previous t o this flight and was not detected during maintenance on t he engine 4 days before the accident.
ACCIDENT DETAILS,"July 25, 1980",07:13,"Philadelphia, Pennsylvania",Air Pennsylvania - Air Taxi,?,"Hazelton, PA - Philadelphia, PA",Piper PA-31-350,N5MS,317405138,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,"The aircraft flew into the vortex wake of a B727, lost control and crashed."
