,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 05, 1950",?,"Sverdlovsk, Russia",Military - Soviet Air Force,?,?,Lisunov Li-2,?,?,19 (passengers:? crew:?),19 (passengers:? crew:?),0,"During the approach to Koltsovo Airport in Sverdlovsk, Russia, the aircraft crashed in extremely adverse weather conditions involving a heavy snowstorm with strong winds. All 19 of those on board were killed, including almost the entire national ice hockey team of the Soviet Air Force. The team was heading to a match against the Dynamo Moscow hockey club."
ACCIDENT DETAILS,"January 18, 1950",?,"Albacete, Spain",Ejercito del Aire,?,?,Junkers JU-52/3m,?,?,16 (passengers:? crew:?),16 (passengers:? crew:?),0,The military plane crashed on the southeast coast of Spain.
ACCIDENT DETAILS,"January 20, 1950",12:00,"Near Vacas, Bolivia",Military - Bolivian Air Force,?,Valle grande - Cochabamba,Douglas C-47,TAM-10,?,32 (passengers:28 crew:4),32 (passengers:28 crew:4),0,Crashed while en route in the Andes mountains after encountering a thunderstorm.
ACCIDENT DETAILS,"January 24, 1950",?,"Near Tamatave, Madagascar",Societe Transatlantique Aerienne,?,Antananarivo - Tamatave,Douglas C-47A-50-DL,F-BFGD,10046,14 (passengers:11 crew:3),14 (passengers:11 crew:3),0,Crashed into a mountain 30 miles west of Tamatave.
ACCIDENT DETAILS,"January 24, 1950",?,"Iloilo,Philippines",Philippine Air Lines,?,Iloilo - Manila,Douglas DC-3,PI-C22,?,4 (passengers:1 crew:3),4 (passengers:1 crew:3),0,Cargo plane.
ACCIDENT DETAILS,"January 26, 1950",?,"Near Snag, Yukon Territory",Military - U.S. Air Force,?,"Elmendorf - Great Falls, MT",Douglas C-54D-DC (DC-4),42-72469,10574,44 (passengers:36 crew:8),44 (passengers:36 crew:8),0,"Operated by the Strategic Air Command, the transport disappeared while flying between Elmendorf AFB and Great Falls, Mt. There were 44 persons aboard. All were American military personnel except for two passengers, a civilian dependent and her infant child. Last radio contact was at 17:09 near Snag, YT. It took Amber Airway No.2 over Canada, but failed to arrive at its destination. The wreckage still had not been found by 1951."
ACCIDENT DETAILS,"February 02, 1950",04:45,North Sea,KLM Royal Dutch Airlines,?,Amsterdam - London,Douglas DC-3,PH-TEU,13396,7 (passengers:0 crew:7),7 (passengers:0 crew:7),0,"Crash into the North Sea during a night mail flight shortly after takeoff, 40 miles off the Dutch coast."
ACCIDENT DETAILS,"February 27, 1950",?,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,?,Ostrava - Prague,Douglas C-47A-15-DK,OK-WDY,12725,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,The aircraft crashed into a mountain while en route.
ACCIDENT DETAILS,"March 07, 1950",20:59,"Minneapolis, Minnesota",Northwest Orient Airlines,307,Rochester Minn. - Minneapolis,Martin 202,N93050,9134,13 (passengers:10 crew:3),13 (passengers:10 crew:3),2,"Crashed into a flag pole, well marked by red neon obstruction lights, on approach in blowing snow. Pilot's attempt to land visual rather than ILS after visual reference to the ground was lost."
ACCIDENT DETAILS,"March 10, 1950",?,"Saigon, Vietnam",Societe Indochinoise de Transport Aeriens,?,Hue - Tourane,Bristol 170 Freighter 21,F-BECR,12782,4 (passengers:1 crew:3),4 (passengers:1 crew:3),0,Cargo plane.
ACCIDENT DETAILS,"March 12, 1950",c 14:50,"Llandow Airport, Cardiff, Wales",Fairflight Ltd.,?,Llandow - Dublin,Avro 689 Tudor 5,G-AKBY,1417,83 (passengers:78 crew:5),80 (passengers:75 crew:5),0,"During the approach to Runway 28 at Llandow Airport, it appeared to witnesses that the aircraft was going to touch down prematurely. This was followed by an application of power. Climbing to 300 ft. the aircraft stalled and crashed into a field. Due to the placement of luggage in relation to passenger load, the center of gravity was such that there was insufficient elevator control remaining to counteract the rise of the nose upon full application of power."
ACCIDENT DETAILS,"March 25, 1950",?,"Ankara, Turkey",Devlet Hava Yollairi,?,?,Douglas DC-3,TC-BAL,19423,15 (passengers:11 crew:4),15 (passengers:11 crew:4),0,Crashed and caught fire during landing at Etimeagut airport.
