,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 06, 1972",?,"Near Chetumal, Mexico",SAESA,?,Chetumel - Merida,Hawker Siddeley HS-748-230 Srs. 2A,XA-SEV,1598,23 (passengers:18 crew:5),23 (passengers:18 crew:5),0,The aircraft crashed following a fire onboard while en route.
ACCIDENT DETAILS,"January 07, 1972",c 22:00,"Sierra de Atalayasa, Spain",Iberia Airlines,602,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,EC-ATV,163,104 (passengers:98 crew:6),104 (passengers:98 crew:6),0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.
ACCIDENT DETAILS,"January 18, 1972",01:04,"Chambers, Nebraska",Kime Flying Service - Air Taxi,?,"Omaha, NE - Hot Springs, SD",Piper PA-23,N4897P,?,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"The pilot feathered the right engine for undetermined reasons, failed to maintain safe altitude and crashed into a telephone pole and wires."
ACCIDENT DETAILS,"January 21, 1972",?,"Near Adana, Turkey",Turkish Airlines (THY),?,Damascus - Ankara,Mc Donnell Douglas DC-9-32,TC-JAC,47213/358,8 (passengers:5 crew:3),1 (passengers:0 crew:1),0,"After diverting to Adana because of pressurization problems, the aircraft hit the ground downwind on the second approach and caught fire."
ACCIDENT DETAILS,"January 21, 1972",10:30,"Near Betania, Colombia",SATENA,?,Medellin - Buenaventura,Douglas C-47,FAC-661,?,39 (passengers:36 crew:3),39 (passengers:36 crew:3),0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military.
ACCIDENT DETAILS,"January 21, 1972",?,"Near Funza, Colombia",Lineas Aéreas la Urraca,?,Bogota - San Andres,Vickers Viscount 837,HK-1347,442,20 (passengers:15 crew:5),20 (passengers:15 crew:5),0,Crashed shortly after leaving Bogota after an explosion aboard.
ACCIDENT DETAILS,"January 26, 1972",16:10,"Near Srbská Kamenice, Czech Republic",JAT Yugoslav Airlines,JU 367,Stockholm - Belgrade,McDonnell Douglas DC-9-32,YU-AHT,47482/592,28 (passengers:23 crew:5),27 (passengers:23 crew:4),0,"The plane crashed after the detonation of a bomb in the forward cargo hold. A flight attendant, 22 year old Vesna Vulovic, fell 33,330 feet in the tail section and although she broke both legs and was temporarily paralyzed from the waist down, she survived. She was in a coma for 27 days and it took 16 months for her to recover. The bomb was believed to be placed on the plane by a Croatian extremist group. On January 27, 1997, 25 years after the crash, Vesna Vulovic returned to the crash-site and was reunited with the firemen who pulled her from the wreckage and the medical team who looked after her in the hospital."
ACCIDENT DETAILS,"February 01, 1972",?,"Near Tegal, Indonesia",Royal Air Laos/PENAS,?,?,Douglas DC-6,XW-PEH,43126/132,9 (passengers:6 crew:3),6 (passengers:5 crew:1),0,Due to a compass error the aircraft became lost and crashed during a forced landing due to fuel starvation.
ACCIDENT DETAILS,"February 04, 1972",?,"Pha Khao, Laos",Air America,?,Ban Xon - Pha Khao,de Havilland Canada C-7A Caribou,393,51,38 (passengers:34 crew:4),1 (passengers:0 crew:1),0,Crashed while attempting to land. Overloaded
ACCIDENT DETAILS,"February 04, 1972",19:00,"BattleMountain, Nevada",Clarkes Thunder - Air Taxi,?,"Gallup, NM - Battle Mountain, NV",Beechcraft S35,N8933U,?,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,Pilot flying too high and suffered hypoxia. Pilot had emphysema and advanced arteriosclerosis. No oxygen aboard the aircraft.
