,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 01, 2002",18:02,"Hollywood, Florida",Air Taxi - Air Taxi Inc.,-,?,Piper PA-31-250,N3525Y,31-7952127,5 (passengers:4 crew:1),1 (passengers:1 crew:0),0,"The pilot declared an emergency and ditched into Atlantic Ocean, 300 yards off Dania Beach in 15 feet of water. The pilot's inadequate planning for a Title 14 CFR Part 135 on-demand air taxi flight, and his failure to refuel the airplane, which resulted in fuel exhaustion while en route over the Atlantic Ocean, a power off glide, and ditching in the ocean."
ACCIDENT DETAILS,"January 04, 2002",12:07,"Birmingham, England",Agco Corp,?,"Birmingham, England - Bangor, MA",Canadair CL-604,N90AG,5414,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors."
ACCIDENT DETAILS,"January 09, 2002",?,"Shamsi AFB, Pakistan",Military - U.S. Air Force,?,Jacobabad - Shamsi,Lockheed Hercules KC-130R,160021,4702,7 (passengers:0 crew:7),7 (passengers:0 crew:7),0,While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.
ACCIDENT DETAILS,"January 14, 2002",07:28,"Bilbao, Spain",Ibertrans Aérea,1278,Madrid - Bilbao,Embraer EMB-120 Brasilia,EC-GTJ,120-024,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,"While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility."
ACCIDENT DETAILS,"January 15, 2002",08:45,"Chilpancingo, Mexico",Procuraduría General de la República,?,Mexico City - Chilpancingo,de Havilland DHC-6 Twin Otter 300,XC-FIT,752,17 (passengers:15 crew:2),5 (passengers:5 crew:0),0,"During a landing attempt at Chilpancingo, the aircraft left the runway, struck a concrete perimeter wall, overturned and burned. The government plane belonged to the General Office of the judge advocate."
ACCIDENT DETAILS,"January 16, 2002",16:29,"Near Solo, Indonesia",Garuda Indonesia Airlines,421,Mataram - Yogyakarta - Jakarta,Boeing B-737-3Q8,PK-GWA,24403/1706,62 (passengers:54 crew:8),1 (passengers:0 crew:1),0,"The aircraft suffered a flame out of both engines in torrential rains while on approach to Yogyakarta. The crew made an emergency landing in the Bengawan Solo River, in shallow water. The plane circled several times before diving in a steep course towards the river. The plane's left wing struck a river bank before it plunged into the water. The reason the crew flew into extreme weather was the heavy rain and hail was shadowed on the radar and blocked from radar view. In addition, the airplane had a partially failed battery which was exhausted by two attempts to restart the engines, producing a total electrical failure. A flight attendant drowned in the shallow water when she jumped from the plane."
ACCIDENT DETAILS,"January 17, 2002",c 11:00,"Near La Bonita, Ecuador",Petroproducción,?,Quito - Lago Agrio,Fairchild FH-227E,HC-AYM,511,26 (passengers:21 crew:5),26 (passengers:21 crew:5),0,"The plane crashed into del cerro El Tigre mountain in the jungles of the Amazon at an elevation of 14,700 ft. The 35 minute flight was transporting oil workers to a remote oil field."
ACCIDENT DETAILS,"January 19, 2002",c: 9:40,"Near Milford Sound, New Zealand",Air Fiordland,-,Te Anau - Milford Sound,Cessna 207 Skywagon,ZK-SEV,20700204,6 (passengers:5 crew:1),6 (passengers:5 crew:1),0,"The sightseeing plane hit a mountainside at an elevation of 4,500 ft., 200 ft. below the summit. The weather was clear at the time of the accident."
ACCIDENT DETAILS,"January 27, 2002",?,"Near Luena, Angola",Military - Angolan Air Force,-,?,Antonov AN-12,T-304,A12244,40 (passengers:34 crew:6),5 (passengers:3 crew:2),0,Crashed 2km short of the runway from the Luena Airport while attempting to land in heavy rain.
ACCIDENT DETAILS,"January 28, 2002",c 11:00,"Near Ipiales, Colombia",TAME,120,Quito - Tulcán - Cali,Boeing B-727-134,HC-BLF,19692/498,92 (passengers:83 crew:9),92 (passengers:83 crew:9),0,"The airliner crashed into the fogbound 15,721 ft. Nevado de Cumbal volcano, in the Andes mountains, near the Ecuador / Colombian border. Air traffic control lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of Tulcán. The pilot's decision to initiate and continue the flight towards Tulcán Airport while below minimum meteorological conditions established in the company's standard operating procedure. Inadequate navigation and operation of the aircraft by the pilot in command consistent with entering the holding pattern at the Tulcán NDB with a velocity of 230 knots indicated and with a bank angle of 15 degrees, exceeding the maximum limit of 180 knots stipulated throughout the procedure, and using a bank angle inferior to the recommended 25 to 30 degrees, thereby departing… holding pattern obstacle protection, leading to a collision against the Cumbal Volcano."
