,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 08, 1928",?,"Near Canajoharie, New York",Colonial Western Airlines,?,Minola - Albany - Buffalo,Fairchild FC-2,NC3780,39,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..
ACCIDENT DETAILS,"January 16, 1928",?,"Solis, Uruguay",Aeropostale,F-AIKG,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,633,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The wing on the mail plane detached from the aircraft and crashed into the sea.
ACCIDENT DETAILS,"January 22, 1928",?,"L'Hospitalet, Ariège",Aeropostale,?,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,F-AHEQ,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed after experiencing mechanical difficulties.
ACCIDENT DETAILS,"January 22, 1928",?,"Tarragona, Spain",Aeropostale,?,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AHEQ,240,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,Crashed in unknown circumstances.
ACCIDENT DETAILS,"January 27, 1928",?,"Almeria, Spain",Aeropostale,?,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFHN,162,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.
ACCIDENT DETAILS,"February 26, 1928",?,"Marquette, Nebraska",Boeing Air Transport,?,?,Boeing 40,NC280,891,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.
ACCIDENT DETAILS,"March 11, 1928",?,"Off Cape Griz Nez, France",Air Union,?,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,Crashed into the sea while delivering mail in poor weather.
ACCIDENT DETAILS,"April 17, 1928",?,"Federal, Wyoming",Boeing Air Transport,?,?,Boeing 40,NC282 NC282,893,2 (passengers:1 crew:1),1 (passengers:1 crew:0),0,Spatial disorientation after entering a snowstorm.
ACCIDENT DETAILS,"April 19, 1928",?,"Minuesa, Spain",Iberia Airlines,?,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,9 (passengers:7 crew:2),9 (passengers:7 crew:2),0,Crashed into a field after getting lost in fog.
ACCIDENT DETAILS,"May 07, 1928",?,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",Aeropostale,?,?,Latecoere 26,F-AIMQ,671,5 (passengers:3 crew:2),1 (passengers:1 crew:0),0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.
ACCIDENT DETAILS,"May 12, 1928",?,"Dearborn, Minnesota",Ford Air Freight Inc.,?,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.
ACCIDENT DETAILS,"May 26, 1928",?,"Radevormwald, Germany",Deutsche Lufthansa,?,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,5 (passengers:4 crew:1),3 (passengers:2 crew:1),0,"After taking off and encountering fog, the pilot decided to to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error."
ACCIDENT DETAILS,"June 14, 1928",?,"Frankfurt, Germany",Deutsche Lufthansa,?,?,AEGK,D-74,439,5 (passengers:4 crew:1),5 (passengers:4 crew:1),0,"The ""Viper"" crashed for unknown reasons."
ACCIDENT DETAILS,"June 22, 1928",?,"Lebo, Kansas",National Air Transport,?,Chicago - Dallas,Douglas M-4,NC1059,628,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The mail plane flew into tornado like winds and crashed in a field.
ACCIDENT DETAILS,"July 10, 1928",?,Over the Gulf of Finland,Aero O-Y,?,Tallinn - Helsinki,Junkers F-13,K-SALB,760,6 (passengers:4 crew:2),6 (passengers:4 crew:2),0,Crashed under unknown circumstances
ACCIDENT DETAILS,"July 13, 1928",?,"Purley, England",Imperial Airways,?,Testing,Vickers 74 Vulcan,G-EBLB,9,6 (passengers:5 crew:1),4 (passengers:4 crew:0),0,Crashed to the ground shortly after taking off killing two men and two women.
ACCIDENT DETAILS,"July 24, 1928",14:48,"Waalhaven, Netherlands",KLM Royal Dutch Airlines,?,Sightseeing over Rotterdam,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),6 (passengers:5 crew:1),1 (passengers:1 crew:0),0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven."
ACCIDENT DETAILS,"August 25, 1928",c 11:00,"Near Port Townsend, BC, Canada",British Columbia Airways,?,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend. Considered the first Canadian air disaster.
ACCIDENT DETAILS,"September 02, 1928",c 9:15,"Toul, France",CIDNA,?,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,5 (passengers:2 crew:3),5 (passengers:2 crew:3),0,"After taking off the engine failed, the plane stalled and crashed."
ACCIDENT DETAILS,"September 04, 1928",?,"Adelaide Hills, Australia",Qantas,?,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,5,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
