,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"March 22, 1925",?,"Near Tiflis, Georgia, USSR",Zakavia,?,Tiflis - Suchumi,Junkers F-13,R-RECA,590,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,Shortly after take off the plane went out of control and crashed in flames.
ACCIDENT DETAILS,"April 25, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
ACCIDENT DETAILS,"June 25, 1925",?,"Landrécies, France",KLM Royal Dutch Airlines,?,Amsterdam - Paris,Fokker (KLM) F.III,H-NABM,1502,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
ACCIDENT DETAILS,"June 26, 1925",?,"Alicante, Spain",Grands Express Aeriens,?,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,?,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,While attempting to land the seaplane hit a lightning mast and crashed.
ACCIDENT DETAILS,"July 20, 1925",?,"Rosas, Spain",Lignes Aeriennes Latecoere,?,Toulouse - Barcelona,Breguet 14,F-AFBI,209,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed in unknown circumstance.
ACCIDENT DETAILS,"July 24, 1925",?,"Budapest, Hungary",CIDNA,?,?,Potez IX,?,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,Crashed while attempting to land 10 km from the airport
ACCIDENT DETAILS,"September 03, 1925",c 05:30,"Caldwell, Ohio",Military - U.S. Navy,?,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,?,43 (passengers:? crew:?),14 (passengers:? crew:?),0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
ACCIDENT DETAILS,"September 07, 1925",?,"Toul, France",CIDNA,?,?,Spad 33,?,?,? (passengers:? crew:?),? (passengers:? crew:?),?,?
ACCIDENT DETAILS,"October 01, 1925",?,"Nittany Mt, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,385,?,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,?
ACCIDENT DETAILS,"November 14, 1925",?,"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,?,?,Breguet 14,F-AEGZ,168,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,The pilot suffered sunstroke lost control of the plane and crashed.
ACCIDENT DETAILS,"November 14, 1925",?,"Off Boulogne-sur-Mer, France",Air Union,?,?,Farman F-60 Goliath,F-AMFY,?,2 (passengers:? crew:?),2 (passengers:? crew:?),0,?
