,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 16, 1958",?,"Belem, Brazil",Cruzeiro,?,?,Fairchild C-82A,PP-CEF,10200,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane lost the No. 1 engine on takeoff and crashed.
ACCIDENT DETAILS,"January 20, 1958",?,"Near La Paz, Bolivia",TAM (Bolivia),?,Tipuani - La Paz,Douglas DC-3,TAM-04,?,11 (passengers:7 crew:4),11 (passengers:7 crew:4),0,Crashed in mountainous terrain while en route.
ACCIDENT DETAILS,"February 01, 1958",?,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,?,Rio de Janerio - Fortaleza,Douglas DC-4,PP-LEM,18336,67 (passengers:62 crew:5),5 (passengers:3 crew:2),0,The plane abandoned the takeoff after an engine failed. The plane was unable to stop and slid off the runway striking rocks and catching fire. Failure of No. 4 engine. Malfunctioning of the starboard brakes.
ACCIDENT DETAILS,"February 01, 1958",c 19:15,"Norwalk, California",Military - U.S. Air Force / Military - U.S. Navy,?,Long Beach - McGuire AFB,Douglas C-118A / Lockheed P2V-5F,53-3277A/127723,44622/,49 (passengers:35 crew:14),47 (passengers:35 crew:12),1,"The two aircraft collided at an altitude of 3,000 feet scattering wreckage over a residential and business area of suburban Los Angeles. The C-118 had just taken off from Long Beach Municipal Airport on a transcontinental flight and the P2V was on an instrument training exercise. All 41 killed on the C-118A, six on the P2V and one woman on the ground who was hit by debris outside her house. Pilot error, pilots of both aircraft."
ACCIDENT DETAILS,"February 06, 1958",14:17,"Munich, Germany",British European Airways,609,Munich - Manchester,Airspeed Ambassador AS-57,G-ALZU,5217,44 (passengers:38 crew:6),23 (passengers:21 crew:2),0,"The first takeoff attempt ended in an aborted takeoff due to engine boosting. This was not uncommon with this type of aircraft at higher altitudes and was usually caused the thrust being opened too fast. The second attempt to take off was aborted for the same reason. During the third attempt, as the plane passed V1 (committed to take off) the plane suddenly decelerated, never became airborne, crashed through the barrier fence, into a house and burst into flames. Eight members of the Manchester United football (soccer) team killed. A German inquiry concluded at an accumulation of ice on the wings was the cause of the accident, blaming the captain for not deicing the plane. Ten years later the British reopened the inquiry and concluded the accident was caused by slush on the last quarter of the runway. The reason other planes had taken off without incident was because they lifted in the air using only two thirds of the runway. The accident plane, because of the engine boosting, went further down the runway to take off. The aircraft was named ""Lord Burghley."""
ACCIDENT DETAILS,"February 15, 1958",?,"Mount Vesuvius, Italy",Military - US Air Force,?,Ramstein - Naples - Turkey,Douglas VC-47A,42-93817,13771,16 (passengers:10 crew:6),16 (passengers:10 crew:6),0,"Radio contact was lost with the military aircraft thirty minutes after taking off from Naples after the crew reported en route at 6,500 feet and switching to the Rome ATC. The plane crashed on the northern slopes of Mt. Vesuvius."
ACCIDENT DETAILS,"February 19, 1958",01:14,"Cairo, Egypt",KLM Royal Dutch Airlines,543,?,Douglas DC-6B,PH-DFK,43552,21 (passengers:13 crew:8),1 (passengers:0 crew:1),0,During the approach the aircraft hit a hill in front of R34 and crash landed with a damaged landing gear onto the runway. An off duty pilot opened an emergency exit before aircraft stopped and was thrown out into a still turning propeller and killed.
ACCIDENT DETAILS,"February 19, 1958",?,"Raiatea, French Polynesia",Réseau Aérien Interinsulaire,?,"Papeete, French Polynesia - Raiatea",Consolidated PBY-5A Catalina,F-AOVV,?,15 (passengers:12 crew:3),15 (passengers:12 crew:3),0,Struck the water and sank after the right wing tip float contacted the water during a shallow turn for final approach.
ACCIDENT DETAILS,"February 20, 1958",05:35,"Off Corvo Island, Azores",Military - U.S. Navy,?,Argentina - Azores,Lockheed WV-2,BU-141310,4434,22 (passengers:0 crew:22),22 (passengers:0 crew:22),0,Disappeared while on patrol about 100 miles from the Azores. No trace of the aircraft was ever found.
ACCIDENT DETAILS,"February 27, 1958",09:45,"Horwich, Lancs, England",Silver City Airways,?,Isle of Man - Manchester,Bristol 170 Freighter 21,G-AICS,12762,42 (passengers:39 crew:3),35 (passengers:35 crew:0),0,Crashed into a mountain near Winter Hill during an approach. The First Officer used the wrong radio beacon (Oldham Becaon instead of on Wigan Beacon).
