,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 1971",?,"Ben Gashir, Libya",United Arab Airlines,844,Algers - Boumediene,de Havilland Comet 4C,SU-ALC,6439,16 (passengers:8 crew:8),16 (passengers:8 crew:8),0,Crashed 7 kms from the runway in a sandstorm. Decision to land while visibility was below company minimums for that particular airport at night.
ACCIDENT DETAILS,"January 09, 1971",16:20,"Edison, New Jersey",American Airlines / Private,30,"San Francisco, CA - Newark, NJ",Boeing B-707-323 / Cessna 150,N7595A/N60942,19345 / ?,21 (passengers:14 crew:7),2 (passengers:0 crew:2),0,"Midair collision at 3,000 ft. Failed to see and avoid other aircraft. The Boeing 707 landed safely. Two killed on the Cessna. System permitted VFR operation in congested area in reduced visibility."
ACCIDENT DETAILS,"January 18, 1971",15:49,"Zurich, Switzerland",Balkan Bulgarian Airlines,LZ130,Paris - Zurich - Sofia,Ilyushin IL-18,LZ-BED,186009002,47 (passengers:39 crew:8),45 (passengers:38 crew:7),0,"The crew decided while on the ground at Paris not to stop at Zurich but later, while in flight, changed their minds when they received reports of improving weather. The plane crashed during the approach to Zurich after drifting to the right and below the glide path. The left wing tip and landing gear struck the ground first."
ACCIDENT DETAILS,"January 21, 1971",07:35,"Near Pacae, Peru",Fuerza Aérea del Peru,?,Mazamari - Lima,Curtiss-Wright C-46,FAP-381,?,35 (passengers:30 crew:5),35 (passengers:30 crew:5),0,Crashed in the Andes mountains after experiencing engine trouble.
ACCIDENT DETAILS,"January 21, 1971",?,"Near Privas, France",L'Armée de L'Air,?,Paris - Orange,Nord 262A-34,F-RBOA,44,21 (passengers:17 crew:4),21 (passengers:17 crew:4),0,Crashed and exploded in a snowstorm in mountainous terrain. Thirteen of France's nuclear weapons experts were killed.
ACCIDENT DETAILS,"January 22, 1971",21:36,"Surgut, USSR",Aeroflot,?,Omsk - Surgut,Antonov AN-12B,CCCP 11000,5343610,14 (passengers:12 crew:2),14 (passengers:12 crew:2),0,Crashed 15 km short of the runway. Icing. The engine bleed valves were not open causing the anti-icing system to become ineffective.
ACCIDENT DETAILS,"January 23, 1971",?,"Near Sokcho, South Korea",Korean Airlines,?,Kangnung - Seoul,Fokker F-27 Friendship 500,HL-5212,10428,60 (passengers:55 crew:5),2 (passengers:1 crew:1),0,Crash landed on a beach after a hijacker detonated grenades he was carrying. The hijacker and the co-pilot were killed by the grenade explosions.
ACCIDENT DETAILS,"January 25, 1971",?,"Merida, Venezuela",Linea Aeropostal Venezolana,?,Merida - Maiquetia,Vickers Viscount 749,YV-C-AMV,94,48 (passengers:44 crew:4),18 (passengers:17 crew:1),0,Crash landed onto Cruces de Daji mountain in the Andes eight minutes after taking off off from Merida.
ACCIDENT DETAILS,"January 31, 1971",?,"Voroshilovgrad, Russia",Aeroflot,?,?,Antonov AN-10,CCCP-12996,00347403,7 (passengers:? crew:?),7 (passengers:? crew:?),0,Aileron oscillations coincided with flap extension. The crew misunderstood aileron oscillations for asymmetrical flap extension and retracted the flaps. The airspeed dropped to 172 knots and the aileron suddenly deflected causing a left roll. The aircraft undershot the runway and crashed. The hinge moment reversal on the ailerons caused by icing.
ACCIDENT DETAILS,"February 07, 1971",16:12,"Aguadilla, Puerto Rico",Jamie Ramirez - Air Taxi,?,"Mona Is., PR - Mayaguez, PR",Piper PA-28,N3680K,?,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,The pilot declared a engine problem and ditched into the ocean. A search found no evidence of the aircraft or occupants.
