,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 14, 1981",?,"Ramstein AFB, West Germany",Military - U.S. Air Force,?,"Ramstein AFB - Oslo, Norway",Lockheed C-130E Hercules,69-6581,4357,11 (passengers:0 crew:11),11 (passengers:0 crew:11),0,"Stalled, crashed shortly after taking off."
ACCIDENT DETAILS,"January 20, 1981",11:27,"Spokane, Washington",Cascade Airways,201,Moses Lake - Spokane,Beechcraft 99A,N390CA,U-101,9 (passengers:7 crew:2),7 (passengers:5 crew:2),0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA."
ACCIDENT DETAILS,"January 27, 1981",22:30,"Winnemucca, Nevada",Orcon Inc. - Air Taxi,?,"Reno, NV - Winnemucca, NV",Aero Commander 681,N500JP,6003,3 (passengers:2 crew:1),2 (passengers:1 crew:1),0,"Pilot transmitted he had runway in slight but crashed short of runway. Rain, snow and turbulence with thunderstorms in the area."
ACCIDENT DETAILS,"February 07, 1981",?,"Near Leningrad, Russia",Military - Soviet Navy,?,?,Tupolev TU-104A,CCCP-42332,7660402,52 (passengers:? crew:?),52 (passengers:? crew:?),0,Crashed shortly after taking off approximately 10 miles north of Leningrad.
ACCIDENT DETAILS,"February 10, 1981",21:16,"Houma, Louisiana",Walker - Watts Aviation - Air Taxi,?,"New Orleans, LA - Houma, LA",Cessna 310R,N1323G,310R0007,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,Crashed on final approach after encountering windshear. Pilot not briefed on possibility of turbulence and windshear by FSS personnel.
ACCIDENT DETAILS,"February 11, 1981",18:40,"White Plains, New York",Private - Corporate,?,"White Plains, NY - Toronto, Canada - White Plains, NY",Lockheed 1339,N520S,?,8 (passengers:6 crew:2),8 (passengers:6 crew:2),0,"Crashed in rain, fog, windshear. Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath."
ACCIDENT DETAILS,"February 22, 1981",114:20,"Avalon, California",Helicopter - Air Taxi,?,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,N324Y,62012,8 (passengers:7 crew:1),2 (passengers:2 crew:0),0,The main rotor disk failed from a fatigue fracture while attempting to land.
ACCIDENT DETAILS,"February 24, 1981",?,"Belem, Brazil",VOTEC,?,Tucurui - Belem,Embraer 110P Bandeirante,PT-GLB,110-144,14 (passengers:12 crew:2),11 (passengers:9 crew:2),0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.
ACCIDENT DETAILS,"February 25, 1981",17:30,"North Adams, Massachusetts",Berkshire Aviation - Air Taxi,?,"North Adams, MA - New York, NY",Cessna 310R,N5489J,310R0287,3 (passengers:2 crew:1),2 (passengers:1 crew:1),0,Failed to obtain flying speed on takeoff and crashed. Airframe icing. Pitot heat off.
ACCIDENT DETAILS,"February 26, 1981",05:25,Off Tabones Island Philippines,Military - U.S. Air Force,?,?,Lockheed MC-130E-Y,64-0564,4074,24 (passengers:15 crew:9),23 (passengers:15 crew:8),0,"The military transport crashed into Subic Bay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames."
