,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 01, 2007",14:07,"Off Parepare, Indonesia",Adam Air,574,"Surabaya, East Java - Manado, Indonesia",Boeing B-737-4Q8,PK-KKW,24070,102 (passengers:96 crew:6),102 (passengers:96 crew:6),0,"While flying at FL350 the airliner went missing between Surabaya and Manado in poor weather conditions after the pilot reported strong winds. Wreckage was found 5 miles south of Parepare. The accident was caused by the autopilot being accidentally disconnected. The two pilots had been trying to fix a problem with the plane's navigation instruments when they disconnected the autopilot and lost control of the plane. Without the autopilot, the plane went out of control, listing to the right and pitching down. The IRS navigation system was repeatedly reported malfunctioning but was never repaired. This is what initially distracted the crew."
ACCIDENT DETAILS,"January 05, 2007",12:02,"Matabwe, Tanzania",DJB Air Charter,?,Dar es Salaam - Matabwe,Piper PA-31-310,5H-MUX,31-627,10 (passengers:9 crew:1),1 (passengers:1 crew:0),0,"The pilot attempted to land using full flaps and touched down about halfway down the runway. He aborted the landing and applied power to take off. The aircraft struck trees beyond the end of the runway. The airport is served by a 2,300 foot runway with a significant downslope on one end. The runway had been exposed to recent heavy rain."
ACCIDENT DETAILS,"January 09, 2007",12:00,"Near Balad Air Base, Iraq",Moldovan Aeriantur-M Air Cargo,?,"Adana, Turkey - Balad Air Base, Iraq",Antonov 26B-100,ER-26068,11308,35 (passengers:30 crew:5),34 (passengers:29 crew:5),0,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers."
ACCIDENT DETAILS,"January 09, 2007",23:15,"Zapotlanejo, Mexico",Ameristar Jet Charter,?,"Laredo, TX - Guadalajara, Mexico",Learjet 24F,N444TW,348,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane crashed and burst into flames in a rural hilly area about 15 miles from Miguel Hidalgo Airport, Guadalajara, Mexico."
ACCIDENT DETAILS,"January 12, 2007",11:00,"Van Nuys, California",SunQuest Executive Air Charter,?,Van Nuys - Long Beach,Cessna Citation 525,N77215,525-0149,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The business jet crashed about a half-mile north of a runway while attempting to take off for a positioning flight to Long Beach. The plane had an emergency on board and was trying to return to the airport. Both the pilot and copilot were killed. The pilot's failure to maintain an adequate airspeed during the initial climb resulting in an inadvertent stall/spin. Contributing to the accident were the second pilots inadequate preflight, failure to properly secure the front baggage door, and the front left baggage door opening in flight, which likely distracted the first pilot."
ACCIDENT DETAILS,"January 20, 2007",?,"Near Baghdad, Iraq",Military - US Army,?,?,Sikorsky UH-60L Black Hawk,?,?,12 (passengers:10 crew:4),12 (passengers:10 crew:4),0,The helicopter crashed northeast of Baghdad. Shot down by a combination of several heavy machine guns and a shoulder-fired missile
ACCIDENT DETAILS,"January 25, 2007",11:15,"Pau, France",Regional Compagnie Aerienne Europeenne,7775,Pau - Paris,Fokker 100,F-GMPG,11362,54 (passengers:50 crew:4),0 (passengers:0 crew:0),1,"The crew abandoned their takeoff after the loss of an engine due to bird ingestion. The jet overshot the runway and collided with a truck, killing the driver. The landing gear sheared off and the plane came to rest in a field."
ACCIDENT DETAILS,"February 06, 2007",19:20,"East Bay Cay, Turks & Caicos Islands",Air Turks & Caicos,?,North Caicos - Grand Turk,Beechcraft Super King Air B200,VQ-TIU,BL-131,6 (passengers:5 crew:1),1 (passengers:0 crew:1),0,"While on final approach, the charter aircraft crashed short of the runway, killing the pilot who was the nephew of Turks & Caicos Premier."
ACCIDENT DETAILS,"February 07, 2007",04:01,"Belgrade, Montana",Metro Aviation,?,Great Falls - Bozeman,Beechcraft Super King Air B200,N45MF,BB-234,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,Crashed under unknown circumstances 15 miles north of Bozeman while attempting to land. The aircraft was on a positioning flight. The pilot's failure to maintain an adequate altitude and descent rate during a night visual approach. Dark night conditions and mountainous terrain are factors in the accident.
ACCIDENT DETAILS,"March 07, 2007",07:14,"Yogyakarta, Indonesia",Garuda Indonesia Airlines,200,Jakarta - Yogyakarta,Boeing B-737-497,PK-GZC,25664/2393,140 (passengers:133 crew:7),22 (passengers:21 crew:1),0,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land. The captain ignored the plane’s automated warning system as it sounded alarms fifteen times. He also ignored calls from the co-pilot to go around and make another approach."
ACCIDENT DETAILS,"March 08, 2007",15:00,"Princeville, Hawaii",Heli-USA Airways,?,Sightseeing,Aerospatiale AS350BA Rotocraft,N354NT,1168,7 (passengers:6 crew:1),4 (passengers:3 crew:1),0,"The helicopter crashed on Kauai shortly after the pilot radioed that he was having problems with the hydraulics. The helicopter hit the ground about 200 yards from it's normal landing pad. The failure of maintenance personnel to properly tighten (torque) the flight control servo lower attachment clevis, and reinstall a functioning lock washer, which resulted in a flight control disconnect and a complete loss of helicopter control. Contributing to the accident was the operator's failure to ensure its maintenance program was being executed in accordance with Federal regulations."
ACCIDENT DETAILS,"March 11, 2007",23:20,"Hanea, Kauai, Hawaii",Inter-Island,?,?,Mc Donnell Douglas 369FF Rotocraft,N911VC,0049FF,5 (passengers:4 crew:1),1 (passengers:1 crew:0),0,"The helicopter was flying low near the coast when there was a loud bang and parts, including the tail rotor, fell into the ocean. The helicopter then hit trees and a fence as it spiraled down into an open field. The fatigue failure of the tail rotor blade root fitting due to a manufacturing defect which resulted in the separation of the tail rotor system and loss of tail rotor control. A contributing factor to the accident were the trees that the helicopter struck during the autorotation."
ACCIDENT DETAILS,"March 14, 2007",?,"Fazenda Nossa Senhora de Lourdes, Brazil",Bahia Taxi Aéreo  Bahia Taxi Aéreo  Bahia Taxi Aéreo,?,Petrolina - Salvador,Rockwell 500S Shrike Commander,PP-SEC,3094  3094,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0,"Fifteen minutes before arriving at its destination the crew informed ATC about a technical problem and that they were losing altitude. Few minutes later, the twin engine plane crashed into an open field."
ACCIDENT DETAILS,"March 17, 2007",11:40,"Samara, Russia",UTAir Airlines,UT-471,Surgut - Samara,Tuolev 134AK,RA-65021,48390,57 (passengers:50 crew:7),6 (passengers:6 crew:0),0,"While attempting to land in heavy fog, the airplane contacted the ground 400 m short of the runway. The left wing hit the ground and separated from the fuselage. The plane then rolled over inverted and the fuselage broke apart. The accident can be blamed on both the controller, who did not inform the pilot about the reduced visibility in time due to organizational problems, and on the pilot, who did not give the dispatcher the correct information about his landing trajectory and, consequently, did not decide to stop the landing procedure and try to take another approach at the time he should have done so."
