,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 05, 1953",20:53,"Belfast, Northern Ireland",British European Airways,?,Northolt - Belfast,Vickers Viking 610-1B,G-AJDL,262,35 (passengers:31 crew:4),27 (passengers:24 crew:3),0,Crashed into approach lights while attempting to land. Error of judgement on the part of the pilot.
ACCIDENT DETAILS,"January 07, 1953",20:55,"Issaquah, Washington",Flying Tiger Line,841,San Francisco - Seattle,Douglas C-54B-10-DO,N86574,18350,7 (passengers:3 crew:4),7 (passengers:3 crew:4),0,"The plane struck a tree on a mountain ridge at an elevation of 1,620 feet. Following impact with the tree the aircraft continued flying and finally struck the ground in a canyon 1,500 feet below and caught fire. The flight's deviation from the established approach procedure."
ACCIDENT DETAILS,"January 07, 1953",04:12,"Fish Haven, Idaho",Associated Air Transport,1-6-6A,Boeing Field - Cheyenne,Curtiss C-46,N1648M,22395,40 (passengers:37 crew:3),40 (passengers:37 crew:3),0,"The plane crashed into mountains while en route. Upon entering an area of turbulence, the plane was unable to climb and crashed into trees. Found 5 months later. The inadvertent descent into an area of turbulence and icing which resulted in the pilot's inability to regain a safe altitude."
ACCIDENT DETAILS,"January 15, 1953",04:48,"25 nm off Agrigento, Italy",Military -Royal Air Force,-,?,Vickers Valetta Mk1 / Avero Lancaster,VX562 / TX270,?,26 (passengers:16 crew:10),26 (passengers:16 crew:10),0,"Both aircraft crashed after a midair collision at approximately 1,500 ft. Weather conditions at the time were a factor with localized thundrestorms, heavy rain and hail. The court of enquiry was of the opinion that no responsibility could be attached to any individual. Although evidence revealed that the Malta Flight Information Center were not in possession of full information on the Lancaster's sortie, it was not a contributory cause. Nineteen killed aboard the Vickers, 7 aboard the Lancaster."
ACCIDENT DETAILS,"January 26, 1953",?,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,?,Cagliari - Rome,Douglas DC-3,I-LAIL,4308,19 (passengers:15 crew:4),19 (passengers:15 crew:4),0,Crashed 10 miles east of Cagliari in the Sinnai mountains after a wing failed due to overstressing.
ACCIDENT DETAILS,"February 02, 1953",05:30,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),?,"Lajes, Azores - Gander",Avro 685 York 1,G-AHFA,1304,39 (passengers:33 crew:6),39 (passengers:33 crew:6),0,"Last know coordinates 46' 15"" N, 46'31""W, over the North Atlantic. A distress message was received. No trace of the aircraft or its occupants were ever found."
ACCIDENT DETAILS,"February 03, 1953",?,"Lai Chau, Vietnam",Air Outremer,?,?,Douglas C-47B-15-DK,F-OAFR,15283/26728,18 (passengers:? crew:?),18 (passengers:? crew:?),0,Destroyed by shelling.
ACCIDENT DETAILS,"February 07, 1953",?,"Bordeaux, France",UTA,?,Abidjan - Bordeaux,Douglas C-54A-5-DC,F-BFGR,10290,21 (passengers:14 crew:7),7 (passengers:6 crew:1),0,Crashed into a grove of small trees and burst into flames while trying to land in heavy fog.
ACCIDENT DETAILS,"February 09, 1953",19:00,"Cairo, Egypt",Military - Egyptian Air Force,?,Al Arish - Cairo,Curtiss-Wright C-46,1001,?,35 (passengers:? crew:?),30 (passengers:? crew:?),0,Crashed into a hill during a sandstorm.
ACCIDENT DETAILS,"February 14, 1953",17:10,"Off Mobile, Alabama",National Airlines,470,Miami - Orlando - New Orleans,Douglas DC-6,N90893,43057/73,46 (passengers:41 crew:5),46 (passengers:41 crew:5),0,"The aircraft crashed into the Gulf of Mexico off Mobile, Alabama. The aircraft broke up in the turbulence of a ""frontal wave"" storm after failure of the left wing. The loss of control followed by the in-flight failure and separation of portions of the airframe structure while the aircraft was traversing an intense frontal-wave type storm of extremely severe turbulence, the severity and location of which the pilot had not been fully informed."
