,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 04, 2001",?,"Zheng Zou AB, China",Military - People's Liberation Army,?,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,31242/31243,?,16 (passengers:0 crew:16),16 (passengers:0 crew:16),6,Two Antonov 12 planes collided in midair killing all aboard and 6 on the ground.
ACCIDENT DETAILS,"January 08, 2001",?,"Near Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,?,Timika - Jayapura,CASA 212-MP Aviocar 200,U-614,223/63N,9 (passengers:0 crew:9),9 (passengers:0 crew:9),0,"Struck Timika Peak at 11,800 ft. shortly after taking off."
ACCIDENT DETAILS,"January 14, 2001",17:29,"Near Lake Point, Utah",Skydive Salt Lake - Charter,?,Skydiving,Beech A90 King Air,N616F,LJ-165,9 (passengers:8 crew:1),9 (passengers:8 crew:1),0,"Crashed into the Great Salt Lake with skydivers during a final approach to Tooele. The pilot's exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist, an inadequately equipped airplane for flying in instrument meteorological conditions, and the pilot's overconfidence in his personal ability in that he had reportedly done this on two previous occasions."
ACCIDENT DETAILS,"January 23, 2001",21:35,"Eider Point, Alaska",Majestic Air Cargo,?,?,Douglas C-47A-30-DK (DC-3C),N19454,13863,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight, and the captain's impairment from drugs. Factors in the accident were dark night conditions, and the first officer's impairment from drugs."
ACCIDENT DETAILS,"January 25, 2001",18:15,"Ciudad Bolivar, Venezuela",Rutaca Airlines,224,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),YV-224C,19055,24 (passengers:20 crew:4),24 (passengers:20 crew:4),0,The plane caught fire shortly after taking off from Ciudad Bolivar where it had made a refueling stop. The pilot was unable to tell the tower what was wrong before rolling inverted and crashing into a neighborhood south of the city.
ACCIDENT DETAILS,"January 27, 2001",17:37,"Byers, Colorado",North Bay Charter,?,"Broomfield, CO - Stillwater, OK",Beech King Air 200 Catpass,N81PF,BB-158,10 (passengers:8 crew:2),10 (passengers:8 crew:2),0,"The plane was on a charter flight from Jefferson County Airport to Stillwater, Oklahoma. Radio and radar contact was lost 20 - 30 minutes after the plane took off as it reached 23,000 feet. The aircraft crashed at a high rate of speed into the ground on a farm 40 miles east of Denver. There was light snow and 1.5 miles visibility at the time of the accident. Two members and six staffers of the Oklahoma State University basketball team were among those killed. The probable cause of this accident was the pilot’s spatial disorientation resulting from his failure to maintain positive manual control of the airplane with the available flight instrumentation. Contributing to the cause of the accident was the loss of a.c. electrical power during instrument meteorological conditions."
ACCIDENT DETAILS,"January 31, 2001",16:50,"El Yopal, Colombia",Lineas Aereas Suramericanas,?,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,HK-3932X,201,6 (passengers:3 crew:3),3 (passengers:2 crew:1),0,"While attempting to land at Mitú, the cargo plane's landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final, it struck the ground, crashed in a meadow and caught fire."
ACCIDENT DETAILS,"February 08, 2001",19:20,"Beaver Island, Minnesota",Northern Illinois Flight Center,?,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,N318DH,AT-469,6 (passengers:4 crew:2),2 (passengers:0 crew:2),0,"Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination, the flightcrew not flying to an alternate destination, the flightcrew not following company and FAA procedures/directives, the lack of certification of the second pilot, the operator not following company and FAA procedures/directives, and the dark night and the low ceiling."
ACCIDENT DETAILS,"February 08, 2001",15:40,"Nurnberg, Germany",E.A.S. Aeroservizi,?,"Nurnberg - Rome, Italy",Learjet 35A,I-MOCO,35-445,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,"The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded."
ACCIDENT DETAILS,"February 10, 2001",?,"Jakobkondre, Suriname",Gum Air Charter,?,Paramaribo - Jakobkondre,GAF Nomad N24A,PZ-TBP,N24A-73,10 (passengers:9 crew:1),10 (passengers:9 crew:1),0,"After losing radio contact with the airport, the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre."
