,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 06, 1977",17:05,"Near Palm Springs, California",Jet Avia Charter,?,Palm Springs - Las Vegas,Gates Learjet 24B,N12MK,24B-192,4 (passengers:2 crew:2),4 (passengers:2 crew:2),0,"The plane took off from Palm Springs Municipal Airport in light rain, bound for Las Vegas Nevada. The plane climbed to 9,000 feet but never changed its runway heading and flew directly into a mountain at an altitude of 9,700 feet. Flight crew's misinterpretation of an IFR clearance issued by the Palm Springs Departure Control and subsequent ATC instructions. Natalie ""Dolly"" Sinatra, 82, mother of entertainer Frank Sinatra and her traveling companion were killed."
ACCIDENT DETAILS,"January 13, 1977",06:36,"Anchorage, Alaska",Japan Air Lines,?,"Mosses Lake, WA - Tokyo, Japan",Douglas DC-8,JA8054,46148/553,5 (passengers:0 crew:5),5 (passengers:0 crew:5),0,The cargo plane crashed while attempting to take off. Alcoholic impairment of captain. Flightcrew members did not prevent captain from attempting to fly. Blood alcohol of 0.21.
ACCIDENT DETAILS,"January 13, 1977",18:14,"Near Alma Ata, Kazakastan, USSR",Aeroflot,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,96 (passengers:90 crew:6),96 (passengers:90 crew:6),0,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway."
ACCIDENT DETAILS,"January 14, 1977",?,"Terrace, BC, Canada",Northern Thunderbird Air Ltd.,?,Prince George - Prince Rupert,de Havilland Canada DHC-6 Twin Otter 300,C-GNTB,463,12 (passengers:9 crew:3),12 (passengers:9 crew:3),0,Crashed into Little Herman Mountain while on approach.
ACCIDENT DETAILS,"January 15, 1977",?,"Kalvesta, Sweden",Skyline Sweden,?,Malmo - Bromma,Vickers Viscount 838,SE-FOZ,372,22 (passengers:19 crew:3),22 (passengers:19 crew:3),0,"The aircraft suddenly dove to the earth into an apartment parking lot from an altitude of 1,150 feet. Icing of the stabilizer leading to stabilizer stall. The No.2 and No.3 engines had been running with reduced power and the anti-icing system temperature was too low."
ACCIDENT DETAILS,"January 20, 1977",?,?,North Canada Air,?,?,Bristol 170 Freighter 31M,C-FWAD,13253,2 (passengers:0 crew:2),1 (passengers:0 crew:1),0,The cargo plane stalled nearly vertical and crashed. Shifting cargo.
ACCIDENT DETAILS,"January 27, 1977",?,"San Ramon, Bolivia",Transportes Aéreos Itenez,?,?,Fairchild C-82,CP-983,10147,6 (passengers:? crew:?),6 (passengers:? crew:?),0,?
ACCIDENT DETAILS,"February 11, 1977",?,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,?,?,Avia 14T,OK-OCA,190013167,5 (passengers:2 crew:3),5 (passengers:2 crew:3),0,The cargo plane crashed short of the runway while attempting to land. Failure to follow the prescribed flight path and decision height in marginal weather.
ACCIDENT DETAILS,"February 15, 1977",23:17,"Mineralnye Vody, Russia",Aeroflot,5003,Tashkent - Mineralnyye Vody,Ilyushin IL-18V,CCCP-75520,183006703,98 (passengers:92 crew:6),77 (passengers:76 crew:1),0,Stalled and crashed after the crew executed a missed approach.
ACCIDENT DETAILS,"February 28, 1977",?,"Near Saglouc, Canada",Survair,?,?,Douglas DC-3,C-FNAR,13154,10 (passengers:7 crew:3),4 (passengers:2 crew:2),0,Crashed in whiteout conditions.
ACCIDENT DETAILS,"March 01, 1977",?,"Off Aden, Yemen",Alyemda,?,Aden - Al Kari,Douglas DC-3,7O-ABF,13475,21 (passengers:18 crew:3),20 (passengers:17 crew:3),0,Crashed into the ocean.
ACCIDENT DETAILS,"March 03, 1977",15:00,"Near Cascina, Italy",Military - Italian Air Force,?,Training,Lockheed C-130H,MM61995,4491,44 (passengers:38 crew:6),44 (passengers:38 crew:6),0,The aircraft crashed into cloud obscured Mt. Serra shortly after taking off from San Giusto Airport at Pisa. The plane was seen making a evasive maneuver before slamming into the mountain peak.
ACCIDENT DETAILS,"March 04, 1977",03:35,"Niamey, Niger",Overseas National Airways,?,"Paris, France - Niamey, Nigher",McDonnell Douglas DC-8-63CF,N8635,46050/430,4 (passengers:0 crew:4),2 (passengers:0 crew:2),0,The cargo plane crashed short of the runway while attempting to land.
