,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 10, 2012",10:00,"North Spirit Lake, Ontario, Canada",Keystone air Service Limited,?,Winnipeg - North Spirit Lake,Piper PA-31-350 Navajo Chieftain,C-GOSU,31-7752148,5 (passengers:4 crew:1),4 (passengers:3 crew:1),0,"While on approach, the plane crashed on a frozen lake, 1 km from the runway. The crash occurred during blizzard conditions."
ACCIDENT DETAILS,"January 30, 2012",08:45,"Namoya, Congo",TRACEP Congo Aviation,?,Bukavu - Namoya,Antonov AN-28,9Q-CUN,?,5 (passengers:3 crew:3),3 (passengers:1 crew:2),0,The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.
ACCIDENT DETAILS,"March 15, 2012",07:15,"Near San Juan, Puerto Rico",Jet One Express,?,San Juan - Saint Croix,Convair CV-340,N153JR,117,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots."
ACCIDENT DETAILS,"March 16, 2012",10:45,"Kabul, Afghanistan",Military - Turkish Army (NATO),?,?,Sikorsky S-70A-28,10981,?,12 (passengers:? crew:?),12 (passengers:? crew:?),4,The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.
ACCIDENT DETAILS,"April 02, 2012",07:44,"Tyumen, Russia",UTAir,120,Tyurmen - Surgut,ATR 72-201,VP-BYZ,332,43 (passengers:39 crew:4),33 (passengers:29 crew:4),0,"After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces. Icing. The plane was not deiced before taking off."
ACCIDENT DETAILS,"April 20, 2012",18:40,"Islamabad, Pakistan",Bhoja Airlines,213,Karachi - Islamabad,Boeing 737-236,AP-BKC,23167/1074,127 (passengers:121 crew:6),127 (passengers:121 crew:6),0,"While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew’s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane’s automated flight deck"
ACCIDENT DETAILS,"April 30, 2012",16:30,"Sabanagrande, Colombia",Military -Fuerza Aerea Colombiana,?,Barranquilla - Caucasia,Bell 212,FAC 4020,31272,13 (passengers:11 crew:2),13 (passengers:11 crew:2),0,The helicopter caught fire and crashed while en route.
ACCIDENT DETAILS,"May 09, 2012",15:30,"Near Cidahu, Indonesia",Sukhoi,36801,Demonstration flight,Sukhoi Superjet 100-95,RA-97004,95004,45 (passengers:39 crew:6),45 (passengers:39 crew:6),0,"The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. Soon after requesting a turn, they flew into the mountain. All 37passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning , followed by six 'avoid terrain' warnings before the crash. The pilot in command switched the TAWS off, assuming there was a database problem. In addition, the flight crew were distracted by a customer in the cockpit and failed to complete a planned turn. Due to inadequate maps, briefing, and low clouds, the crew did not know there were mountains in the area."
ACCIDENT DETAILS,"May 14, 2012",09:15,"Jomsom, Nepal",Agni Air,?,Pokhara - Jomsom,Dornier 228-212,9N-AIG,8216,21 (passengers:18 crew:3),15 (passengers:13 crew:2),0,The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.
ACCIDENT DETAILS,"June 02, 2012",15:30,"Accra, Ghana",Allied Air,111,"Lagos, Nigerai - Accra, Ghana",Boeing B-727-200,5N-BJN,22540/1796,4 (passengers:0 crew:4),0 (passengers:0 crew:4),12,"While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus."
ACCIDENT DETAILS,"June 03, 2012",16:45,"Lagos, Nigeria",Dana Air,992,Abuja - Lagos,McDonnell Douglas MD-83,5N-RAM,53019/1783,153 (passengers:146 crew:7),153 (passengers:146 crew:7),10,"The plane was about 11 miles from Lagos VOR when the crew declared an emergency reporting engine problems. The plane collided with a power line and crashed into the Iju/Ishaga area of Lagos, 1 mile adjacent to the runway. Double engine failure. Likely the crew's failure to properly monitor fuel flow and turn on proper fuel pumps."
ACCIDENT DETAILS,"June 06, 2012",?,"Hualla Hualla, Mount Mamarosa, Peru",HeliCusco,?,Mazuco - Cusco,Sikorsly S-58ET,OB-1840-P,581672,14 (passengers:12 crew:2),14 (passengers:12 crew:2),0,"The helicopter was flying back to Cusco after conducting aerial surveillance on a possible site for a hydroelectric project near Puno, in southern Peru when it hit the side of a cliff."
ACCIDENT DETAILS,"June 11, 2012",?,"Near Serov, Russia",Illegal flight,?,?,Antonov An-2R,RA-40312,1G221-48,13 (passengers:12 crew:1),13 (passengers:12 crew:1),0,"The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident."
ACCIDENT DETAILS,"June 21, 2012",14:45,"Jakarta, Indonesia",Military - Indonesian Air Force,?,Training flight,Fokker F-27 Friendship 400M,A-2708,10546,7 (passengers:0 crew:7),7 (passengers:0 crew:7),4,The plane was attempting to land on runway 18 during a training exercise when it crashed about 1 mile from the runway into houses in the Rajawali housing complex.
ACCIDENT DETAILS,"August 18, 2012",16:25,"Off Masbate Island, Philippines",Aviatour's Fly'n Inc.,?,Cebu-Naga,PA-34-200 Seneca I,RP-C4431,34-7350051,4 (passengers:2 crew:2),3 (passengers:2 crew:1),0,"While en route, the crew of the chartered flight radioed they were making an emergency landing at Masbate Airport due to engine problems. The airplane then crashed into the sea and broke apart off the shores of Masbate Island some 980 ft away from the island's airport. An investigation found that improper maintenance led to the right engine suffering an internal failure, which likely would have caused misfiring and intermittent operation of the fuel pump. The failure was gradual and the aircraft developed engine problems 23 minutes after take off. However, instead of turning back to Cebu, the pilot decided to continue the flight, until the engine failed completely, 37 minutes later and the aircraft crashed during the subsequent attempt to land at Masbate. The investigation determined that the pilot didn't use the correct procedure for trying to land a Piper Seneca with one engine inoperative, in that he lowered the undercarriage and flaps too soon; and that during his last flight proficiency test he had not been tested with respect to flying with one engine inoperative."
ACCIDENT DETAILS,"August 19, 2012",08:00,"Talodi, Sudan",Alfa Airlines,?,Khartoum - Talodi,Antonov An-26-100,ST-ARL,2606,32 (passengers:26 crew:6),32 (passengers:26 crew:6),0,"After an aborted landing, the plane flew into a slope of the Nuba mountains while on approach and attempting to land at Talodi air strip. There was a dust storm in the area at the time. All 26 passengers and crew of 6 were killed including 2 Sudanese ministers."
ACCIDENT DETAILS,"September 12, 2012",12:28,"Near Palana, Russia",Petropavlovsk-Kamchatsky Air Enteprise,261,Petropavlovsk-Kamchatsky - Palana,Antonov An-28,RA-28715,25-1AJ006,14 (passengers:12 crew:2),10 (passengers:8 crew:2),0,"Crashed in a cedar forest, 6 miles from Palana Airport while on approach. There were heavy storm clouds and poor weather at the time of the accident. Both pilots were found to be intoxicated."
ACCIDENT DETAILS,"September 28, 2012",06:15,"Kathmandu, Nepal",Sita Air,?,?,Dornier 228-202,9N-AHA,8123,19 (passengers:16 crew:3),19 (passengers:16 crew:3),0,The plane crash landed on the bank of the Manohara River minutes after taking off from Trinbhuvan Airport. Some witnesses reported seeing the front of the plane on fire before it crashed. Overloading and the lack of performance in the climb phase due to loss of engine power led to a stall.
ACCIDENT DETAILS,"October 07, 2012",12:00,"Near Omdurman, Sudan",Military - Sudanese Air Force,?,?,Antonov An-12BP,ST-ASA,402010,22 (passengers:16 crew:6),15 (passengers:? crew:?),0,"The transport, carrying military personnel and equipment, crashed 25 miles southwest of Omdurman after experiencing engine trouble. The captain reported that both engines stopped working prior to the crash."
ACCIDENT DETAILS,"October 07, 2012",16:16,Antigua,Fly Montserrat,107,Antigua - Montserrat,Britten-Norman BN-2A-26 Islander,VP-MO,082,4 (passengers:3 crew:1),3 (passengers:2 crew:1),0,"The small airliner took off from Runway 7 at V.C. Bird International Airport, lost height immediately after becoming airborne and crashed to the ground, nose first. There was heavy rains and lightning at the time of the accident."
ACCIDENT DETAILS,"November 06, 2012",07:46,"Wichita, Kansas",Fedex operating for Baron Aviation,8588,"Wichita - Garden City, KS",Cessna 208B Super Cargomaster,N73FE,208B-0291,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The cargo plane climbed to an altitude of about 4,000 feet then attempted to return to the airport. The plane continued to lose altitude until it made a forced landing in a field and crashed into trees."
ACCIDENT DETAILS,"November 21, 2012",?,"San'a, Yemen",Military - Yemen Air Force,?,Training,Antonov An-26,420,?,10 (passengers:0 crew:10),10 (passengers:0 crew:10),0,"The military transport crashed into the abandoned Al-Hasaba marketplace about 6 miles from Sanaa International Airport, shortly after taking off from runway 18. The crew was trying to make an emergency landing after an engine failed."
ACCIDENT DETAILS,"November 30, 2012",17:50,"Near Brazzaville, Congo",Aero Service,?,Pointe Noire - Brazzaville,Ilysushin Il-76T,EK-76300,083410300,7 (passengers:0 crew:7),7 (passengers:0 crew:7),25,The cargo plane crashed into a dozen houses in the Mselou district in Bazzaville while attempting to land at the local airport. The plane caught on fire and came to rest in a ravine. There was heavy rain and thunderstorms in the area at the time of the accident.
ACCIDENT DETAILS,"December 05, 2012",09:45,"Near Ladysmith, South Africa",Military - South African Air Force,?,Pretoria - Mthatha Airport,Douglas C47-TP,6840,13866/25311,11 (passengers:5 crew:6),11 (passengers:5 crew:6),0,"The military transport went missing while en route. The wreckage was found in the Drakensberg mountains near Ladysmith in KwaZulu-Natal province, some 210 miles southeast of Waterkloof Air Force Base. There was severe weather at the time of the accident."
ACCIDENT DETAILS,"December 09, 2012",03:30,"Near Iturbide, Mexico",Starwood Management LLC,?,"Monterey, Mexico - Toluca, Mexico",Learjet 25,N345MC,25-046,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,"The charter jet crashed about 60 miles from Monterey Mexico, about ten minutes after taking off. The plane plunged almost vertically from more than 28,000 feet and hit the ground in a nose-dive at a speed that may have exceeded 600 mph. Mexican-American singerJenni Rivera 43, her publicist and make-up artist were among the dead. She had just finished giving a concert in Monterey and was en route to Toluca to tape a Mexican TV show. A sudden and abrupt lack of control during ascent that provoked a sheer vertical drop of the plane that could have been triggered by a problem with the plane’s horizontal stabilizer. The plane was over 43 years old. The pilot, 78 was authorized to only fly as copilot. The copilot was not authroized to fly out of the United States. The copilot was not authorized to fly IFR which the plane was doing at the time of the accident."
ACCIDENT DETAILS,"December 10, 2012",03:20,"Near Rochelle, Illinois",Rockford Memorial Hospital,?,Medical flight,MBB BK117 A3,N911BK,7099,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The medical helicopter crashed into a field while en route from Rockford hospital to Mendota hospital where they were going to pick up a patient. Light snow was reported in the area at the time of the accident. The pilot and two nurses were killed.
ACCIDENT DETAILS,"December 25, 2012",18:55,"Near Shymkent, Kazakhstan",Military - Kazakhstan Border Guards,?,Astana - Shymkent,Antonov AN-72-100D,UN-72859,36576092859,27 (passengers:20 crew:7),27 (passengers:20 crew:7),0,"The military transport crashed 12 miles from the Shymket Airport while making a descent to land, in heavy winds and snow.The fatalities included a crew of seven and 20 border guards, including the acting head of the ex-Soviet nation's border protection service, Col. Turganbek Stambekov"
ACCIDENT DETAILS,"December 25, 2012",08:50,"Heho, Myanmar",Air Bagan,W9-011,Mandalay - Heho,Fokker 100,XY-AGC,11327,71 (passengers:65 crew:6),2 (passengers:2 crew:0),1,"The passenger plane crash in a field two miles from Heho Airport and caught fire, after attempting to land in foggy weather. A tour guide and an 11-year-old child on board the plane, and a man riding a motorcycle on the ground were killed. Eleven others were injured."
ACCIDENT DETAILS,"December 29, 2012",16:33,"Moscow, Russia",Red Wings Airlines,9268,"Pardubice, Czech Republic - Moscow, Russia",Tupolev TU-204-100V,RA-64047,1450744864047,8 (passengers:0 crew:8),5 (passengers:0 crew:5),0,"While attempting to land on a snow covered runway and heavy cross winds the plane overran the runway, penetrated the perimeter fence and collided with a highway embankment. The aircraft broke in three. The plane's impact with the highway embankment sent the severed nose sliding over the icy road while the rest of the jet rested just past the airport's fence - its tail linked to the rest of the body by only a tangle of wreckage. There were no passengers on board."
