,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 01, 1985",c 20:30,"Near La Paz, Bolivia",Eastern Air Lines,980,"Asuncion, Paraguay - La Paz, Bolivia",Boeing B-727-225 Adv,N819EA,22556/1793,29 (passengers:19 crew:10),29 (passengers:19 crew:10),0,"The aircraft hit Mt. Illimani at an altitude of 19,600 feet after being cleared to descend during an approach to La Paz. The crew did not follow the prescribed airway. Navigation error. Controlled flight into terrain."
ACCIDENT DETAILS,"January 09, 1985",07:00,"Kansas City, Kansas",TPI International Airways,?,Detroit - Kansas City,Lockheed L-188AF Electra,N357Q,1044,3 (passengers:0 crew:3),3 (passengers:0 crew:3),0,The cargo plane executed a missed approach because it was too high. The copilot mistakenly lined up with nearby Fairfax Airport to land. The captain took over and entered a steep climb for a go-around. The plane stalled and entered a dive and crashed into a water treatment plant. Improper IFR procedure. Airspeed not maintained which led to an inadvertent stall.
ACCIDENT DETAILS,"January 18, 1985",?,"Jinan, China",CAAC,5109,Nanjing - Jinan,Antonov AN-24B,B-434,27308110,41 (passengers:34 crew:7),38 (passengers:31 crew:7),0,Crashed after overshooting the runway in rain and fog.
ACCIDENT DETAILS,"January 19, 1985",08:22,"Havana, Cuba",Cubana de Aviacion,?,Havana - Managua,Ilyushin IL-18D,CU-T899,188011102,38 (passengers:33 crew:5),38 (passengers:33 crew:5),0,The airliner crashed after takeoff. Failure of the artificial horizon and obstruction of aileron control due to shifted cargo.
ACCIDENT DETAILS,"January 20, 1985",23:15,"Carson, New Mexico",Air Taxi - EMS,?,"Albuquerque, NM - Taos, NM -",Bell 206 L-1,N40TE,45712,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,The helicopter crashed in open terrain during a turn to reverse direction. Witnesses stated the aircraft was heading north and was on a converging course with high tension lines that were about 80 to 100 ft high and the belly counted spotlight was illuminated when it passed overhead. The helicopter impacted snow covered terrain in a steep descending bank to the right at a high rate of speed on a southerly heading. The power lines showed no evidence of having been struck. Pilot did not maintain directional control.
ACCIDENT DETAILS,"January 21, 1985",01:04,"Reno, Nevada",Galaxy Airlines,203,"Reno, NV - Minneapolis-St. Paul, MN",Lockheed L-188A Electra,N5532,1121,71 (passengers:65 crew:6),70 (passengers:64 crew:6),0,"The aircraft crashed while returning to the airport after reporting severe vibrations. While attempting to land, the aircraft crashed into a field, bounced and slid into mobile homes. A ground handler forgot to close an air start access door. The crew's failure to control and monitor the flight path and air speed of the aircraft after detecting the vibration."
ACCIDENT DETAILS,"January 22, 1985",09:35,"Off Puerto Castilla, Honduras",Military - U.S. Air Force,?,Howard AFB - Trujillo AP,Lockheed C-130A,56-0501,3109,21 (passengers:16 crew:5),21 (passengers:16 crew:5),0,"Crashed into the Caribbean sea, 8 miles northwest of the airport where it was scheduled to land."
ACCIDENT DETAILS,"January 23, 1985",10:35,"Cerro el Plateado, Colombia",Aerolineas Centrales de Colombia,?,Medellin - Quibdo,de Havilland Canada DHC-6 Twin Otter 300,HK-1910,497,23 (passengers:21 crew:2),23 (passengers:21 crew:2),0,"Crashed into a mountain at 11,500 ft. In rainand fog. Flying under VFR when conditions changed to IFR."
ACCIDENT DETAILS,"January 23, 1985",10:35,"Near Buga, Colombia",AIRES Colombia,585,Florencia - Cali,Embraer 110P1 Bandeirante,HK-2638,110341,17 (passengers:15 crew:2),17 (passengers:15 crew:2),0,"The aircraft crashed into a mountain at 8,500 ft. while descending to land at Buga. Continued VFR flight into deteriorating weather conditions."
ACCIDENT DETAILS,"February 01, 1985",08:01,"Minsk, Belarus, USSR",Aeroflot,7841,Minsk - Leningrad,Tupolev TU-134A,CCCP-65910,63971,80 (passengers:74 crew:6),58 (passengers:55 crew:3),0,The aircraft crashed shortly after taking off from Minsk.Double engine failure due to ice ingestion.
