,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 03, 1992",05:46,"Gabriels, New York",Commutair,4821,"Plattsburgh, NY - Saranac Lake, NY",Beechcraft 1900C,N55000,UC-135,4 (passengers:2 crew:2),2 (passengers:1 crew:1),0,"During the approach the aircraft struck trees and crashed near the top of a hill. Failure of the captain to establish a stabilized approach, his inadequate cross-check of instruments, his descent below the specified minimum altitude at the final approach fix and failure of the co-pilot to monitor the approach. The glide slope indications might have been unreliable due to precipitation and static interference."
ACCIDENT DETAILS,"January 13, 1992",15:50,"Temple Bar, Arizona",Air Taxi - Air Vegas Inc.,?,"Grand Canyon, AZ - Las Vegas, NV",Cessna T210L,N22592,21059763,5 (passengers:4 crew:1),2 (passengers:1 crew:1),0,"The pilot tried to make an emergency landing at a nearby airport after losing engine power but crashed 300 ft. short of the runway. Fatigue failure of the turbocharger's turbine shaft due to inadequate maintenance, and the pilot's improper in-flight planning/decision after experiencing a turbocharger failure."
ACCIDENT DETAILS,"January 20, 1992",19:20,"Mt. Saint-Odile, near Strasbourg, France",Air Inter,148,Lyon - Strasbourg,Airbus A320-111,F-GGED,015,96 (passengers:90 crew:6),87 (passengers:82 crew:5),0,"The aircraft hit a mountain while on approach to Strasbourg. The crew was making a non-precision approach to runway 05. Design deficiencies with the rate-of-descent mode selector switch. The captain inadvertently selected 3,300 fpm descent on approach (displayed as 33) instead of 3.3 degree flight path angle (displayed as 3.3 in the same place on the panel) and this went unnoticed. The plane was slightly off course due to ATC error. No GPWS was installed. Both pilots had little time in an Airbus 320. There was inadequate training for non-precision approached. The electronic locator beacon was destroyed in crash, putting survivors at risk for over 4 hours before the wreckage was located."
ACCIDENT DETAILS,"January 27, 1992",?,"Nanaimo, British Columbia, Canada",Air Rainbow,?,Nanaimo - Port Mellon,Beech C18S,C-FRVR,43-35632,9 (passengers:8 crew:1),7 (passengers:6 crew:1),0,Shortly after taking off the float-plane rolled rapidly from side to side lost altitude and crashed into the water cart wheeled and broke up. Turbulence and downdrafts leading to loss of control of the aircraft. Possibly overloaded. Lack of experience in flying a heavily loaded Beech 18 aircraft.
ACCIDENT DETAILS,"January 28, 1992",16:20,"Near Stepanakert, Azerbaijan",Military - Azerbaijan Air Force,?,Agdam - Shusha,Mil Mi-8 (helicopter),?,?,47 (passengers:? crew:?),47 (passengers:? crew:?),0,Exploded and crashed after being hit by a surface-to-air missile. Highest death toll in a commercial helicopter crash in aviation history.
ACCIDENT DETAILS,"February 03, 1992",11:20,"Caetite, Brazil",Nordeste Linhas Aéreas,?,Salvador - Guanambi,Embraer 110C Bandeirante,PT-TBB,110-005,12 (passengers:10 crew:2),12 (passengers:10 crew:2),0,The aircraft descended below MDA in poor weather and struck Taquari Hill which was obscured by clouds.
ACCIDENT DETAILS,"February 06, 1992",09:48,"Evansville, Indiana",Military - U.S. Air Force,?,Training,Lockheed C-130B,58-0732,3527,5 (passengers:0 crew:5),5 (passengers:0 crew:5),11,"The crew were doing touch-and-goes. Operating as the Kentucky National Guard, while taking off, the aircraft struck a motel and then crashed into JoJo's restaurant and the Drury's Inn Motel, exploding into flames. Eleven persons on the ground were killed. Failure of the pilots to maintain sufficient air speed during a simulated engine failure due to distractions with ATC instructions and routine check list duties resulting in a stall."
ACCIDENT DETAILS,"February 09, 1992",05:15,"Near Kafountine, Senegal",Gambcrest,?,Dakar - Yoff - Cap Skiring,Convair CV- 640,N862FW,009,56 (passengers:50 crew:6),30 (passengers:26 crew:4),0,The aircraft crashed into trees during its approach. The crew mistook the hotel lights for runway lights. Pilot error and malfunctioning equipment. Founder of Club Med and his son convicted of involuntary manslaughter in connection with this accident.
ACCIDENT DETAILS,"February 15, 1992",03:26,"Toledo, Ohio",ATI,805,Seattle - Toledo,McDonnell Douglas DC-8-63F,N794AL,45923/383,4 (passengers:0 crew:4),3 (passengers:0 crew:3),0,"After a missed approach by the copilot the captain took over but also executed a go-around. He became spatially disoriented. When in a low nose and left bank attitude, control of the plane was transferred back to the first officer who began leveling the wings and raising the nose of the airplane. Impact with the ground occurred before the recovery was completed. The failure of the flight crew to properly recognize or recover in a timely manner from the unusual aircraft attitude that resulted from the captain's apparent spatial disorientation, resulting from physiological factors and/or a failed attitude director."
ACCIDENT DETAILS,"February 20, 1992",?,En route from Argentina to California,Aerolineas Argentinas,386,?,Boeing B-747,?,?,? (passengers:? crew:?),1 (passengers:? crew:?),0,A passenger died of cholera while en route.
