,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 10, 1991",c 18:00,"Near Paramo Mucuti, Venezuela",Military - Venezuelan Navy,?,Caracas - Merida,CASA 212 Aviocar 200,ARV-0209,264,22 (passengers:19 crew:3),21 (passengers:18 crew:3),0,"Crashed into Paramo Mucuti Mountain, 35 miles from it's destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident."
ACCIDENT DETAILS,"January 11, 1991",?,"Near Belo Horizonte, Brazil",Belair - Air Taxi,?,?,Learjet 25C,PT-KKV,25-172,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,Crashed in a rainstorm.
ACCIDENT DETAILS,"January 30, 1991",13:00,"Jalaludin, Indonesia",Merpati Nusantara Airlines,?,?,CASA 212 Aviocar 200,PK-NCY,258/78N,21 (passengers:18 crew:3),1 (passengers:1 crew:0),0,The plane made a forced landing during poor weather conditions and crashed into trees on a ridge. All passengers survived but one elderly passenger died while waiting for rescue.
ACCIDENT DETAILS,"January 31, 1991",?,"Near Ras Al Khafji, Saudi Arabia",Lockheed AC-130H Hercules,?,?,Military - U.S. Air Force,69-6567,4341,13 (passengers:0 crew:13),13 (passengers:0 crew:13),0,Shot down by a surface-to-air missile during operation Desert Storm.
ACCIDENT DETAILS,"February 01, 1991",18:07,"LAX, Los Angeles, California",USAir / Skywest Airlines,1493/5569,Columbus - Los Angeles \ Los Angeles - Fresno,Boeing B-737-300 / Swearingen SA-227AC,N388US/N683AV,23310/1145 / AC-683,101 (passengers:93 crew:8),34 (passengers:30 crew:4),0,"The Skywest Metroliner was told to taxi into position for takeoff and hold. The ATC became preoccupied with another aircraft that departed the tower frequency. A Wings West aircraft reporting ""ready for takeoff"", caused some confusion because the controller didn't have a flight progress strip in front of her. The strip appeared to have been misfiled at the clearance delivery position. The USAir, which was cleared to land, struck the rear of the Metroliner. After the collision, both planes slid off the runway into an unoccupied fire station and burst into flames.The failure of the Los Angeles Air Traffic facility management to implement procedures that provided redundancy comparable to the requirements contained in the National Operational Position Standards and the failure of the FAA ATS to provide adequate policy direction and oversight to its ATC facility managers. These failures created an environment in the Los Angeles ATC tower that ultimately led to the failure of the controller to maintain awareness of the traffic situation, culminating in the inappropriate clearances and the subsequent collision of the USAir and SkyWest aircraft. Twenty-two killed aboard the USAir and all 12 aboard the Metroliner. One additional person died 31 days after the accident making it 35 killed."
ACCIDENT DETAILS,"February 05, 1991",?,"Near Nea Ankhialos, Greece",Military - Hellenic Air Force,?,?,Lockheed C-130H,748,4724,63 (passengers:59 crew:4),63 (passengers:59 crew:4),0,"The aircraft flew into the summit of Mt. .Othrys at 4,000 ft. while preparing to land at Nea Anghialos Airport."
ACCIDENT DETAILS,"February 07, 1991",08:00,"Munford, Alabama",Macon Horizons - Air Taxi,?,"Macon, GA - Anniston, AL",Piper PA-31-350,N27818,31-7952001,4 (passengers:3 crew:1),4 (passengers:3 crew:1),0,"Impacted the side of a mountain at 2,300 ft., 10 miles from the destination airport. The pilot attempting visual flight in instrument meteorological conditions below the minimum safe altitude for terrain clearance. Contributing factors were the low ceiling and mountainous terrain."
ACCIDENT DETAILS,"February 13, 1991",17:41,"Aspen, Colorado",Air Taxi - Richmor Aviation,?,"Las Vegas, NV - Aspen, CO",Learjet35A,N535PC,291,3 (passengers:1 crew:2),3 (passengers:1 crew:2),0,During an unstabilized approach in snow covered terrain and after not lining up correctly the pilot tried to correct the plane back to the centerline and inadvertently stalled the plane which crashed right wing first into the ground. Airspeed not maintained. Inadvertent stall.
ACCIDENT DETAILS,"February 14, 1991",?,"Near Taisha, Ecuador",Military - Ecuadorean Air Force,?,Macao - Taisha,de Havilland Canada DHC-6 Twin Otter 300,FAE447,832,22 (passengers:19 crew:3),22 (passengers:19 crew:3),0,"Crashed into the side of Mt. Paso Macunaa at 5,000 ft. in a jungle region of eastern Ecuador in poor weather."
ACCIDENT DETAILS,"February 17, 1991",00:20,"Cleveland, Ohio",Ryan International Airlines,590,Cleveland - Indianapolis,McDonnell Douglas DC-9-15RC,N565PC,47240/346,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane stalled during takeoff cart wheeled and crashed. The failure of the flight crew to detect and remove ice contamination on the airplane's wings, which was largely a result of a lack of appropriate response by the Federal Aviation Administration, Douglas Aircraft Company, and Ryan International Airlines to the known effect that a minute amount of contamination has on the stall characteristics of the DC-9 series 10 airplane. The ice contamination led to wing stall and loss of control during the attempted takeoff."
