,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 1949",22:05,"Seattle, Washington",Seattle Air Charter,?,Seattle - New Haven,Douglas DC-3 (C-47A-DL),NC79025,10181,30 (passengers:27 crew:3),14 (passengers:11 crew:3),0,"The aircraft took off in fog with a group of Yale University students returning to school following their Christmas vacation. About midway down the runway the plane swerved to the left and became airborne. The left wing dropped the wing tip dragged on the runway. After about 750 feet, the tail wheel made contact with the runway. The engines were cut and the plane skidded for 700 feet until it hit a hanger and burst into flames. The accident was caused by the crew's attempt to take off in an airplane which had formations of ice and frost on the surfaces of the wings. In addition, the plane was overloaded by 1,500 lbs."
ACCIDENT DETAILS,"January 05, 1949",?,"Caravelas Bay, Brazil",British South American Airways,?,?,Avro 685 York 1,G-AHEX,1301,17 (passengers:11 crew:6),3 (passengers:3 crew:0),0,"A blown tire during takeoff led to damage to the landing gear, engine and oil line. Lack of oil caused loss of the engine and the crew was not able to feather the prop. This led to overspeeding and an engine fire. The plane made a spiral descent and crashed to the ground."
ACCIDENT DETAILS,"January 06, 1949",07:20,"Brandywine, Maryland",Coastal Cargo,?,"Raleigh, NC - Boston, MA",Douglas C-47A,NC53210,13777,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"Cargo plane. The loss of control of the aircraft which resulted from an icing condition, turbulence, and lack of alertness on the part of the crew. As a result, the aircraft spun, and during the spins, or attempted recovery from the spins, severe air loads were encountered which failed the left horizontal stabilizer and the elevators."
ACCIDENT DETAILS,"January 11, 1949",?,"Near Pelotas, Brazil",Viacao Aerea Gaucha S.A.,?,Porto Alegre - Sao Borja,Lockheed 18 Lodestar,PP-SAC,?,12 (passengers:8 crew:4),12 (passengers:8 crew:4),0,The aircraft crashed shortly after taking off. Engine failure due to fuel contamination.
ACCIDENT DETAILS,"January 15, 1949",?,"Ras-el-Tin, Egypt",Pan African Air Charter,?,?,Douglas C-54 Skymaster,ZS-AYB,19584,30 (passengers:? crew:?),30 (passengers:? crew:?),0,Ditched in a lagoon.
ACCIDENT DETAILS,"January 16, 1949",?,"Near Srinagar, India",Dalmia Jain Airways,?,?,Douglas DC-3,VT-CDZ,14145/25590,13 (passengers:4 crew:9),13 (passengers:4 crew:9),0,Crashed en route.
ACCIDENT DETAILS,"January 17, 1949",c 13:40,"Atlantic Ocean, off Bermuda",British South American Airways,?,Bermuda - Kingston,Avro 688 Tudor 4B,G-AGRE,1253,20 (passengers:13 crew:7),20 (passengers:13 crew:7),0,"Lost at sea on a flight from Bermuda to Kingston, Jamaica. The last radio message reported the plane was crossing 30 degrees N. Nothing further was heard from the plane. No wreckage was ever found. The weather was good at the time. The plane was named ""Star Ariel."" Cause undetermined."
ACCIDENT DETAILS,"January 17, 1949",09:50,"Near Succoth Glen, Lochgoilhead, Scotland",Military - U.S. Air Force,?,RAF Scampton - Keflavik - Kansas,Boeing B-29A Superfortress,44-62276,?,20 (passengers:16 crew:4),20 (passengers:16 crew:4),0,"The aircraft, part of the 301st BG 15 AFW, cashed into mountains after encountering icing conditions. The aircraft lost height, clipped the summit of Beinn Tharsuinn in Argyll, and crashed in flames in Succoth Glen below."
ACCIDENT DETAILS,"January 20, 1949",20:05,"Homer, Alaska",Alaska Airlines,8,Homer - Anchorage,Douglas DC-3C,N91006,20208,6 (passengers:3 crew:3),5 (passengers:3 crew:2),0,"The aircraft departed Homer at night under VFR conditions contrary to company and federal regulations, strayed off course and struck a 3,000 ft. mountain, 27 miles northeast of Homer. The action of the pilot in proceeding off the designated airway at an altitude insufficient to clear the terrain."
ACCIDENT DETAILS,"January 30, 1949",16:22,"Port Washington, New York",Pan American World Airways,100,?,Lockheed L-749 / Cessna 140,NC86530/NC76981,2528 /?,35 (passengers:23 crew:12),2 (passengers:1 crew:1),0,"Midair collision. Two killed on the Cessna, none on the Lockheed which laned safely. The joint failure of the Constellation pilots to observe and avoid the Cessna aircraft in flight and of the Cessna pilot, while on an airway and in an area where a heavy concentration of traffic could be expected, to remain alert and avoid the Constellation.The aircraft was named ""Clipper Monarch of the Skies."""
ACCIDENT DETAILS,"February 02, 1949",16:00,"Trinity Bay, Newfoundland",Saint Lawrence Airways,?,Trinity - Rimouski,Avro Anson,CF-FEO,3708,10 (passengers:? crew:?),6 (passengers:? crew:?),0,Crashed shortly after taking off.
ACCIDENT DETAILS,"February 04, 1949",?,"Castel Benito, Libya",Skyways of London,?,Khartoum - Castel Benito,Douglas C-54A-1-DO Skymaster,G-AJPL,7464,53 (passengers:44 crew:9),1 (passengers:0 crew:1),0,"The No. 4, followed by the No. 3 engines failed on initial approach. The plane lost altitude and crashed into trees. Failure of the captain to maintain a safe height, by utilizing the available power of the starboard engines after power failure in the port engine. The reason for this failure by the captain cannot be determined. The power failure in the port engines was caused by fuel starvation brought about by an insuffuciency of fuel in the port tanks. This fuel shortage was the result of the wing tanks being allowed to become progressively unbalanced during the last stage of the flight."
ACCIDENT DETAILS,"February 05, 1949",?,"Buenaventura Bay, Colombia",AVIANCA,?,?,Consolidated PBY-5A Catalina,HK-134,?,14 (passengers:10 crew:4),3 (passengers:1 crew:2),0,Crashed while attempting to land.
ACCIDENT DETAILS,"February 08, 1949",19:56,"Off Copenhagen, Denmark",Scandinavian Airlines (SAS),?,Paris - Copenhagen,Vickers 628 Viking 1B,OY-DLU,199,27 (passengers:23 crew:4),27 (passengers:23 crew:4),0,"Crashed in the sea off the Swedish coast after the pilot was told to enter a holding pattern for Copenhagen, since it was closed to inbound traffic. The aircraft was directed to land on Runway 22 but failed to make the landing. The wreckage was found a month later on the bottom of the ocean. Cause undetermined."
