,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 08, 2003",20:28,"Diyarbakir, Turkey",Turkish Airlines (THY),634,Istanbul - Ankara - Diyarbakir,BAe Avro RJ-100,TC-THG,E-3241,80 (passengers:75 crew:5),75 (passengers:71 crew:4),0,"The aircraft crashed and broke-up 130 feet short of the runway threshold while attempting to land in heavy fog. Visibility was less than 200 feet. The pilots insisted on landing at the MDA of 2,800 ft despite insufficient visual reference to the runway and its environment. Bad weather conditions also contributed to the cause of the accident."
ACCIDENT DETAILS,"January 08, 2003",08:53,"Charlotte, North Carolina",US Air Express/Air Midwest,5481,"Charlotte, NC - Greer, SC",Beech BE-1900D,N233YV,UE-233,21 (passengers:19 crew:2),21 (passengers:19 crew:2),0,"The commuter plane was not able to maintain altitude after taking off from Charlotte-Douglas International Airport and crashed into the side of a hanger and burst into flames. The weather was clear, cold and windy, with greater than 10 miles visibility at the time of the accident. The airplane's loss of pitch control during takeoff was the result of incorrect rigging of the elevator control system compounded by the airplane's center of gravity, which was substantially aft of the certified aft limit. Contributing to the cause of the accident was: (1) Air Midwest's lack of oversight of the work being performed at the Huntington, West Virginia, maintenance station, (2) Air Midwest's maintenance procedures and documentation, (3) Air Midwest's weight and balance program at the time of the accident, (4) the Raytheon Aerospace quality assurance inspector's failure to detect the incorrect rigging of the elevator system, (5) the FAA's average weight assumptions in its weight and balance program guidance at the time of the accident and (6) the FAA's lack of oversight of Air Midwest's maintenance program and its weight and balance program."
ACCIDENT DETAILS,"January 09, 2003",c 08:43,"Near Chachapoyas, Peru",TANS Airlines,222,Chiclayo - Chachapoyas,Fokker 28 Fellowship 1000,OB-1396,11100,46 (passengers:42 crew:4),46 (passengers:42 crew:4),0,"The aircraft crashed into 11,500 ft. Coloque mountain at an altitude of 7,550 ft., about 30 minutes after leaving Chiclayo and three minutes from landing at Chachapoyas. Controlled flight into terrain. Crew did not follow standard procedures. Lack of communication between the crew."
ACCIDENT DETAILS,"January 17, 2003",?,"Near Ndjolé, Gabon",Aerocom,?,Brazzaville - Douala,Antonov 24B,ER-AFT,89901508,7 (passengers:5 crew:2),7 (passengers:5 crew:2),0,"On a positioning flight the plane, over Gabon, had problems with its navigation equipment, circled the airport 4 times before crashing into a wooded hillside."
ACCIDENT DETAILS,"January 24, 2003",16:45,"Busia, Kenya",African Commuter Services,?,Busia - Nairobi,Grumman G-159 Gulfstream I,5Y-EMJ,158,13 (passengers:11 crew:2),3 (passengers:1 crew:2),0,"The plane failed to gain altitude during takeoff, hit power lines and crashed inverted into a house. Kenyan Labor Minister, Ahmed Khalif and the two pilots were killed. The plane was grossly overloaded. The plane which weighed 16 tons, was taking off from an airstrip designed for aircraft weighing less than 5.7 tons."
ACCIDENT DETAILS,"January 31, 2003",15:21,"Baucau, East Timor",Euro Asia Aviation,?,Macau - Baucau,Ilyushin II-76TD,RDPL-34141,0053465941,6 (passengers:2 crew:4),6 (passengers:2 crew:4),0,The cargo plane struck ground 2 km short of the runway in heavy fog. The flight crew did not comply with the published non-precision instrument approach. The flight crew conducted user-defined non-precision instrument approaches to Runway 14 at Baucau during flight in instrument meteorological conditions. The pilot in command permitted the aircraft to descend below the MDA.
ACCIDENT DETAILS,"February 07, 2003",?,"Near Agadir, Morocco",Volare Aviation Enterprise,?,Agadir - Algiers,Antonov 12BP,UR-LIP,9346405,8 (passengers:0 crew:8),8 (passengers:0 crew:8),0,"Crashed in the Atlas mountain range at 9,900 feet while en route."
ACCIDENT DETAILS,"February 10, 2003",19:42,"Tallinn, Estonia",Enimex,827,Tallinn - Helsinki,Antonov AN-28,ES-NOY,1AJ006-04,3 (passengers:0 crew:3),2 (passengers:0 crew:2),0,"Shortly after takeoff, the aircraft stalled, crashed and burst into flames in a wooded area. Engine failure."
ACCIDENT DETAILS,"February 16, 2003",20:02,"Ferguson, Kentucky",Air Taxi - Great Northern Aircraft Co.,?,"Griffith-Merrill, IN - Somerset, KY",Cessna 421,N421TJ,421-0051,7 (passengers:6 crew:1),3 (passengers:2 crew:1),0,"The aircraft was destroyed during a collision with trees and terrain in Ferguson, Kentucky, while on an instrument approach to Somerset-Pulaski County Airport. The pilot's failure to follow the instrument approach procedure, which resulted in an early descent into trees and terrain. Factors included the low ceiling and the night lighting conditions."
ACCIDENT DETAILS,"February 19, 2003",17:30,"Near Shahdad, Iran",Military - Islamic Revolution's Guards Corps,?,Zahedan - Kerman,Ilyushin Il-76MD,15-22,63471155,275 (passengers:257 crew:18),275 (passengers:257 crew:18),0,"The plane crashed into an 11,500 ft. mountain in poor weather, about 20 miles from its destination of Kerman. Besides the 18 crew members, the victims included Iran's Revolutionary Guard."
ACCIDENT DETAILS,"February 20, 2003",08:52,"Near Kohat, Pakistan",Military - Pakistan Air Force,-,Islamabad - Kohat,Fokker F-27 Friendship 200,10254,10254,17 (passengers:9 crew:8),17 (passengers:9 crew:8),0,"The plane crashed into a mountainside in a remote region near the town of Kohat, about 250 kilometers northwest of Islamabad. Among those killed was Air Force chief Mushaf Ali Mir. Pilot error. Pilot's premature descent below minima which resulted in the aircraft hitting a cloud covered ridge at 3,000 feet above sea level."
ACCIDENT DETAILS,"March 01, 2003",14:25,"Near Barki, Russia",Private - Kabanov - skydiving,-,Skydiving,Let L-410UVP,FLARF-01032,831109,25 (passengers:23 crew:2),11 (passengers:9 crew:2),0,"While carrying a group of parachute jumpers, the aircraft began to disintegrate in mid-air while flying at an altitude of about 10,000 ft. The tail and left wing separated from the plane before it crashed into an area of deep snow. Many of the skydivers were able to jump out of the plane to safely before it crashed. Crew error."
ACCIDENT DETAILS,"March 06, 2003",15:45,"Tamanrasset, Algeria",Air Algerie,6289,Tamanrasset - Algiers,Boeing B-737-2T4,7T-VEZ,22700/885,103 (passengers:97 crew:6),102 (passengers:96 crew:6),0,"The starboard engine caught fire and failed while the plane was attempting to take off. The aircraft continued about 2,000 ft. past the end of the runway and crashed. The accident was caused by the loss of an engine during a critical phase of flight, the non-retraction of the landing gear after the engine failure, and the Captain, the pilot not flying, taking over control of the airplane before having clearly identified the problem."
ACCIDENT DETAILS,"March 27, 2003",12:30,"Mulia, Indonesia",PT Air Regional,?,Mulia - Wamena,de Havilland Canada DHC-6 Twin Otter,PK-WAY,261,16 (passengers:14 crew:2),4 (passengers:2 crew:2),0,"Crashed into a 7,000 ft. mountain three minutes after after taking off."
ACCIDENT DETAILS,"March 28, 2003",15:49,"New Vienna, Iowa",Morris Hancock Flying Club - Charter,-,"Aurora, IL - Morris, MN",Beech A36,N1636W,E-348,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"The aircraft, owned by a flying club as a rental airplane, was destroyed following an uncontrolled descent into terrain about 2 miles west of New Vienna, Iowa. The improper planning/decision by the pilot to fly into forecast icing conditions with an airplane not equipped with a certified deicing system. Also casual to the accident was the continued flight in known icing conditions and the pilot not performing flight to an alternate destination. A contributing factor was the pilot's lack of qualification as an air carrier."
ACCIDENT DETAILS,"May 08, 2003",?,"Near Kinshasa, Congo",Ukrainian Cargo Airlines - Congolese Army Charter,?,Kinshasa - Lubumbashi,Illyushin 76,UR-UCB,0063467003,200 (passengers:? crew:?),129 (passengers:? crew:?),0,"A large number of military personnel and their family members were sucked out of the plane after the aircraft's back ramp accidentally dropped open in flight. The ramp opened as the pressure system broke down. The crew managed to control the plane and turn it around and land at Kinshasa airport following the accident, which took place 45 minutes into the flight. There is a wide discrepancy in the number killed ranging from 0 to 250."
