,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 1969",20:12,"Mt. Paku, Taiwan",China Airlines (Taiwan),227,Kaohsiung - Hualien,Douglas DC-3D,B-309,12541,24 (passengers:19 crew:5),24 (passengers:19 crew:5),0,Encountered extreme turbulence and downdrafts while en route.
ACCIDENT DETAILS,"January 02, 1969",12:43,"Tyonek, Alaska",ERA Helicopter,?,?,Bell 205A,N4048G,?,2 (passengers:1 crew:1),2 (passengers:1 crew:1),0,The helicopter crashed into the water after a uncontrolled descent. Moisture in the servo cylinder vent ports froze causing the pilot valves ports to become inoperative causing the pitch control to lock-up.
ACCIDENT DETAILS,"January 05, 1969",c 02:35,"Gatwick Airport, Horley, Surrey, England",Ariana Afghan Airlines,701,Frankfurt - London,Boeing B-727-113C,YA-FAR,19690/540,62 (passengers:54 crew:8),48 (passengers:43 crew:5),2,The aircraft descended below the glide slope and crashed into trees and a house short of the runway. Incorrect setting of flaps and instruments.
ACCIDENT DETAILS,"January 06, 1969",20:35,"Near Bradford, Pennsylvania",Allegheny Airlines,737,Washington - Harrisburgh - Bradford - Erie - Detroit,Convair CV-580,N5825,386,28 (passengers:25 crew:3),11 (passengers:9 crew:2),0,"Crashed, clipping tree tops short of the runway, in light snow while on approach. An excessive descent was not detected or corrected by the crew for reasons unknown. Possibilities include an altimeter failure or misreading of the instrument approach chart."
ACCIDENT DETAILS,"January 06, 1969",?,"Mt. Tawu, Thailand",China Air Lines,?,?,Douglas DC-3,?,?,24 (passengers:19 crew:5),24 (passengers:19 crew:5),0,Crashed onto a mountain slope obscured by clouds.
ACCIDENT DETAILS,"January 13, 1969",19:21,"Off Los Angeles, California",Scandinavian Airlines (SAS),933,Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,LN-MOO,45822/272,45 (passengers:36 crew:9),15 (passengers:12 crew:3),0,"The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX. A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named ""Sverre Viking."""
ACCIDENT DETAILS,"January 13, 1969",?,"Shemya, Alaska",Military - US Air Force,?,Reconnaissance,Boeing RC 135S,59-1491,?,18 (passengers:? crew:?),18 (passengers:? crew:?),?,"""Rivet Ball"" was returning from a reconnaissance mission when it landed back at Shemya. The aircraft hydroplaned and slid off the ice covered runway, plunging into a 40 ft. ravine."
ACCIDENT DETAILS,"January 16, 1969",?,"Near Hue, Vietnam",Air America,?,?,?,949,20415,12 (passengers:9 crew:3),12 (passengers:9 crew:3),0,Struck a mountain in poor weather while en route.
ACCIDENT DETAILS,"January 18, 1969",18:21,"Off Los Angeles, California",United Air Lines,266,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,N7434U,19891/631,38 (passengers:32 crew:6),38 (passengers:32 crew:6),0,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The aircraft was dispatched with the No. 3 generator inoperative. While this was allowed, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Soon after taking off, the crew reported a fire warning in the No. 1 engine and shut it down as required. For reasons that could not be determined, shutting down the No. 1 engine and it’s generator tripped the No.2 generator resulting in the loss of all electrical power in the aircraft. Following loss of all electrical power, the battery standby electrical system either was not activated or failed to function. Electrical power at a voltage level of approximately 50 volts was restored approximately a minute and a half after loss of the No. 2 generator. The duration of this power restoration was just 9 to 15 seconds. Regardless, the pilots did not have functioning attitude indicators from the time the No. 2 generator tripped. In the dark, with no outside or inside reference to guide them, the pilots became spatially disoriented and the plane eventually went into a dive and crashed into the Pacific Ocean 11.3 miles west of the airport and sank in 950 ft. of water. The accident was caused by the loss of attitude orientation during a night, instrument departure in which all attitude instruments were disabled by loss of electrical power. The investigation was not able to determine (a) why all generator power was lost or (b) why the standby electrical power system either was not activated or failed to function."" One unproven scenario that is not contradicted by available evidence was the inadvertent placement of the battery switch to the ""OFF"" position by the flight engineer during attempts to remove galley loads from the generator buses. The galley switches were similar in shape and size, and were located on the flight engineer's upper panel in close proximity to the battery switch. Following the accident, the flight engineer’s panel was redesigned to place a guard over the battery switch."
ACCIDENT DETAILS,"February 04, 1969",?,Off Taiwan,Military - U.S. Air Force,?,?,Lockheed HC-130H Hercules,65-0990,4151,13 (passengers:0 crew:13),13 (passengers:0 crew:13),0,Ditched in the Pacific.
