,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 05, 1995",20:45,"Isfahan, Iran",Military - Iranian Air Force,?,Isfahan - Tehran,Lockheed 1329 Jetstar 8,1003,5203,12 (passengers:6 crew:6),12 (passengers:6 crew:6),0,The plane crashed after the pilot reported a loss of cabin pressure.
ACCIDENT DETAILS,"January 10, 1995",?,"Off Flores Island, Inodnesia",Merpati Nusantara Airlines,6715,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,PK-NUK,390,14 (passengers:10 crew:4),14 (passengers:10 crew:4),0,"The aircraft disappeared while en route from Bima, Sumbawa Island to Ruteng, Flores Island, and crashed into the Molo Strait. The accident occurred in daylight, in poor weather."
ACCIDENT DETAILS,"January 11, 1995",19:38,"Cartagena, Colombia",Intercontinental de Aviacion,256,Bogota - Cartagena,McDonnell Douglas DC-9-14,HK-3839X,45742/26,52 (passengers:47 crew:5),51 (passengers:46 crew:5),0,"While descending from FL 190, ground witnesses saw fire and sparks aboard the plane before it crashed and exploded. One nine-year-old girl survived. Her mother threw her out of the plane and she landed in some soft-water lilies. Possible electrical fire. Possible faulty altimeter."
ACCIDENT DETAILS,"January 11, 1995",18:00,"Flagstaff, Arizona",Empire Airlines,?,Flagstaff - Phoenix,Cessna 208B Caravan I Super Cargomaster,N746FE,208B-0236,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The cargo plane was observed in a shallow left bank until it descended and struck trees and broke up. The pilot's failure to properly configure the aircraft fuel system prior to takeoff and his failure maintain an adequate terrain clearance altitude while maneuvering to return to the airport. Factors in the accident were the dark night lighting conditions, low ceilings, restricted visibility conditions, and the pilot's diverted attention which resulted from activation of the airplane's fuel selector warning horn system."
ACCIDENT DETAILS,"January 11, 1995",01:50,"Masset, British Columbia, Canada",Canada Jet Charters,?,Vancouver - Masset,Learjet 35,C-GPUN,35-058,5 (passengers:3 crew:2),5 (passengers:3 crew:2),0,"The crew of the air ambulance most likely conducted the instrument approach with reference to an unintentionally misset altimeter and unknowingly flew the aircraft into the water. The circumstances leading to the incorrect altimeter setting could not be determined, nor was it determined why the crew did not detect the misset altimeter."
ACCIDENT DETAILS,"January 12, 1995",17:47,"Pleasanton, California",West Air,?,Visalia - Oakland,Cessna 208B Caravan I Super Cargomaster,N754FE,208B-0249,1 (passengers:0 crew:1),1 (passengers:0 crew:1),0,"The cargo plane crashed while on approach. Failure of the pilot-in-command to maintain visual contact with terrain and sufficient altitude for terrain clearance. Factors in the accident were the pilot's decision to initiate a descent 14 miles from the airport, and weather, specifically cloud conditions and darkness."
ACCIDENT DETAILS,"January 14, 1995",04:40,"Blyn, Washington",Air Taxi - Coastal Airways Inc.,?,"Sequim, WA - Seattle, WA",Cessna 172N,N1535E,17271039,4 (passengers:3 crew:1),3 (passengers:2 crew:1),0,"Departed Sequin inVFR conditons towards a cloud bank, at night, turning south towards upsloping terrain. Pilot reported turbulence and structural problem before crashing. VFR flight into IMC."
ACCIDENT DETAILS,"January 14, 1995",19:45,"Los Angeles, California",Air Taxi - Wolfe Air Aviation Ltd.,?,"Los Angeles, CA - Burbank, CA",Bell 206B,N2209P,3520,4 (passengers:3 crew:1),2 (passengers:2 crew:0),0,Took off and crashed into power lines in rain and fog. Continued VFR flight into IMC.
ACCIDENT DETAILS,"January 17, 1995",13:59,"Kathmandu, Nepal",Royal Nepal Airlines,133,Kathmandu - Rumjatar,de Havilland Canada DHC-6 Twin Otter 300,9N-ABI,392,24 (passengers:21 crew:3),2 (passengers:1 crew:1),0,"The captain decided to aborted the take-off. However, the aircraft was never brought to a stop and it continued on overrunning the runway and crashing down a steep slope. Failure of the crew to follow the correct procedure to continue with the rejection of the take-off once that action had been initiated. Lack of crew coordination, insufficient emphasis on emergency training, inadequate enforcement of the requirements of the operations manual and a lack of supervision during loading preparation."
ACCIDENT DETAILS,"January 20, 1995",19:13,"Near Krasnoyarsk, Russia",Abakan Airlines,?,Krasnoyarsk - Abakan,Let 410UVP,RA-67120,790316,19 (passengers:17 crew:2),3 (passengers:1 crew:2),0,"While taking off the aircraft veered to the right and clipped some trees 2,000 ft. past the runway. Overloaded and possible fuel contamination."
