,Date:,Time:,Location:,Operator:,Flight #:,Route:,AC  Type:,Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
ACCIDENT DETAILS,"January 02, 2013",20:57,"Near Clear Lake, Iowa",Med-Trans Corporaion,?,Mercy Hospital - Palo Alto Couonty Hospital,Bell 407,N445MT,53959,3 (passengers:2 crew:1),3 (passengers:2 crew:1),0,"The air ambulance crashed and burned north of Ventura near Clear Lake Iowa in ice, haze and misty conditons."
ACCIDENT DETAILS,"January 04, 2013",11:40,"Off Los Roques, Venezuela",Transaereo 5074,?,Los Roques - Caracas,Britten Norman BN-2A-27 Islander,YV-2615,20,6 (passengers:5 crew:1),6 (passengers:5 crew:1),0,"The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard."
ACCIDENT DETAILS,"January 29, 2013",13:13,"Near Kyzyltu, Kazakhstan",SCAT Air,760,"Kokshetau - Almaty, Kazakhstan",Canadair CRJ-200ER,UP-CJ006,7431,21 (passengers:16 crew:5),21 (passengers:16 crew:5),0,The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.
ACCIDENT DETAILS,"February 13, 2013",18:09,"Donetsk, Ukraine",South Airlines,8971,Odessa - Donetsk,Antonov AN-24RV,UR-WRA,37308709,45 (passengers:41 crew:4),5 (passengers:5 crew:0),0,"While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error. A loss of speed by the aircraft during thelanding approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions."
ACCIDENT DETAILS,"March 04, 2013",17:55,"Goma, Congo",Compagnie Africaine d' Aviation (CAA),?,Lodja - Goma,Fokker 50,9Q-CBD,20270,10 (passengers:4 crew:6),7 (passengers:1 crew:6),0,The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.
ACCIDENT DETAILS,"March 06, 2013",08:30,"La Libertad, Peru",Aero Transporte S.A. - ATSA,?,Callao - La Libertad,Beechcraft B200 King Air,OB-1992-P,BB-1682,9 (passengers:7 crew:2),9 (passengers:7 crew:2),0,"The plane, chartered by a Peruvian gold mining company, crashed while atempting to land at an airport in the La Libertad region of Peru in poor weather. The plane struck power lines, crashed and burned. Two employees of Marsa, 5 contractors and both pilots were killed."
ACCIDENT DETAILS,"March 08, 2013",08:15,"Near Dillingham, Alaska",Ace Air Cargo,51,King Salmon - Dillingham,Beechcraft 1900C,N116AX,UC-17,2 (passengers:0 crew:2),2 (passengers:0 crew:2),0,"The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections. The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists. Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts."
ACCIDENT DETAILS,"March 12, 2013",20:30,"Almer, Brazil",Fretzx Taxi Aereo,?,Belem - Santo Antonio do Jari hydroelectic plant,Embraer EMB 820C Navajo (Piper 31),PT-VAQ,82014,10 (passengers:9 crew:1),10 (passengers:9 crew:1),0,The plane crashed while enroute. It belonged to air charter company Fretax and was transporting nine employees of the engineering company Cesbe to the Santo Antonio do Jari hydroelectric power plant.
ACCIDENT DETAILS,"April 13, 2013",15:35,"Denpasar, Indonesia",Lion Air,904,Bandung - Denpasar,Boeing B-737-8GP,PK-LKS,38728/4350,108 (passengers:101 crew:7),0 (passengers:0 crew:0),0,"The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured."
ACCIDENT DETAILS,"April 29, 2013",15:25,"Bagram Air Base, Afghanistan",National Air Cargo,102,Bagram - Dubai Al Maktoum,Boeing B-747-428BCF,N949CA,25630/960,7 (passengers:0 crew:7),7 (passengers:0 crew:7),0,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000 pounds, broke free and smashed into the tail, severing two hydraulic systems and the elevator jackscrew, leaving the plane uncontrollable."
